Segment,1,2,3,4,1,2,3,4,Total
Zone,1,1,1,1,2,2,2,2,0
AnnualSum,0.0005343102909783638,0.0006239327884406802,4028.493753056308,2450.814443489578,0.0005565226727478389,0.000658630436188957,0.0011051322612295469,118.78749472110732,6598.099169795443
t1,6.073403186525713e-8,7.135640910604339e-8,1.1793365837393816e-7,3.447544065070789e-7,6.359651960833133e-8,7.570446458359698e-8,1.2461056437913807e-7,3.3015572472422925e-7,1.1888457791476132e-6
t2,6.073368700228901e-8,7.138199150114362e-8,1.1798809092232884e-7,3.4473220529320887e-7,6.359450082532911e-8,7.575402692409818e-8,1.2461111659928013e-7,3.300406196339014e-7,1.188836238701579e-6
t3,6.073115956710425e-8,7.139877503748844e-8,1.1801359704591801e-7,3.4468369138053896e-7,6.358154352844192e-8,7.574253741193672e-8,1.2460290502869128e-7,3.299917438447463e-7,1.1887459528448658e-6
t4,6.07304256894123e-8,7.141293308128904e-8,1.1802861605693521e-7,3.446366874612256e-7,6.356752947664539e-8,7.571235191153005e-8,1.2459009969098965e-7,3.299739610214905e-7,1.1886526043895178e-6
t5,6.073623453388024e-8,7.141819736920051e-8,1.180305497385123e-7,3.4464915743358067e-7,6.354186441631995e-8,7.565072331298102e-8,1.2457052757846306e-7,3.2997103236437443e-7,1.1885682867473123e-6
t6,6.076084137488427e-8,7.135750054639497e-8,1.1798883253530343e-7,3.451951481847129e-7,6.359848809009329e-8,7.572239902329427e-8,1.2462650472698847e-7,3.301575111401278e-7,1.1894072256217995e-6
t7,6.072223754845915e-8,7.136491228124258e-8,1.179217521965273e-7,3.4505044973887237e-7,6.351361591635174e-8,7.549564651456043e-8,1.245923699920725e-7,3.3033190125116934e-7,1.1889928854392555e-6
t8,6.071236488096357e-8,7.13717322897111e-8,1.1790362469397145e-7,3.447585839021258e-7,6.352608876995103e-8,7.551431454104216e-8,1.2461145037668923e-7,3.303853062037897e-7,1.1887834656582441e-6
t9,6.163594998110856e-8,7.254043869401291e-8,1.2121133885472988e-7,3.74358006881131e-7,6.461774674596e-8,7.70025498333194e-8,1.2812473553230931e-7,3.561788166828361e-7,1.2556695832054072e-6
