BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t18,46370.95545348465,0.00031594706774607005,-0.000339205271693654,4996.099335828403,-4862.886527806639,5.434316993738306e-7,6.092863405477402e-8,6217.788043465911,-87.98170471511612,-52350.0,8903.516468111186,0.00032449756026946004,-0.00035053357565100417,274.0445781132117,-266.8095678956236,5.395852464122644e-7,6.380126350848749e-8,-6217.788043465911,-87.98170471511612,-2517.0
t19,43293.82768537776,2267.8015605602486,-3.2286840708757136e-5,7249.058016628173,-0.00015753172750017036,5.48074129317804e-7,6.116316165873745e-8,5202.537598861292,-73.61590892321875,-57670.0,5784.752837182836,1937.5012708172171,-3.3780506103713156e-5,393.5155090997797,-0.00016722577458843822,5.503907285520628e-7,6.37868554856706e-8,-5202.537598861292,-73.61590892321875,-2766.0
t20,50488.5085587492,0.00025479711865107146,-0.00020546428812883412,6465.439981934135,-2352.3778898748224,5.423593229022193e-7,6.102437966662977e-8,4183.824403190373,-59.20111784329166,-58471.0,6948.259836844273,0.0002586760882813514,-0.00021959252220462086,340.0680508560624,-180.10128851418716,5.435669965539065e-7,6.367615501992293e-8,-4183.824403190373,-59.20111784329166,-2806.0
t21,51961.24646302305,0.00026306577715307056,-0.000198362218393314,5620.2297238835245,-3782.6120645397036,5.466038878403204e-7,6.104048223465826e-8,4230.86208259735,-59.866701011589676,-57714.0,7013.7527399742385,0.0002699307520246834,-0.00021078629971766927,299.70787310119465,-196.86518820693496,5.438362712896325e-7,6.374423657260671e-8,-4230.86208259735,-59.866701011589676,-2766.0
t22,51495.922954671805,0.00026302369738299925,-0.00019854936381148413,5032.679433448222,-4527.177252071242,5.467497696862756e-7,6.104067759802873e-8,4987.720152530498,-70.57624270412649,-56652.0,7794.025081036491,0.00027004669633560064,-0.0002108781683459128,267.77653755627284,-218.92904043017398,5.438438717728756e-7,6.378931440163543e-8,-4987.720152530498,-70.57624270412649,-2714.0
t23,48855.56129989399,0.0002624984241382693,-0.00019947725953091205,4372.894661221826,-3601.839552606878,5.42854287059647e-7,6.10274210001058e-8,5283.911084906487,-74.76734439301372,-54565.0,8047.642366907777,0.00026910501287440104,-0.0002118482532551448,231.92189714568332,-230.11854822532146,5.437651837892795e-7,6.384981597373847e-8,-5283.911084906487,-74.76734439301372,-2616.0
t24,47170.952095659035,0.00025953317094371946,-0.00020177020071079313,3508.4306216243135,-3942.87297353356,5.426337024655436e-7,6.102666154515924e-8,5326.2149544287795,-75.36594414406953,-51716.0,8016.36215785679,0.00026676682780354553,-0.00021368974071749985,189.08457110257365,-246.4999399266175,5.432316853066015e-7,6.385542014892606e-8,-5326.2149544287795,-75.36594414406953,-2482.0
t25,45163.672846527734,0.0002644519380467883,-0.0001988353587159655,2086.859686868296,-3646.2085184637335,5.455122348612093e-7,6.104479014810077e-8,4680.116077173066,-66.22364503674501,-47956.0,7241.638042785466,0.00026986695656932473,-0.00021125390110105142,112.36553201689907,-254.44026677650209,5.43600301832825e-7,6.403973567351069e-8,-4680.116077173066,-66.22364503674501,-2287.0
t26,46562.02867017258,0.0002718374237655602,-0.00019412202191122608,2036.4173211628483,-6049.060004879156,5.464400690941718e-7,6.105836764496823e-8,5175.0610358874665,-73.22711620582959,-47382.0,7709.55500886569,0.00027928447470069,-0.00020421798052396115,111.42556545190699,-231.4653816931419,5.440553599369069e-7,6.411907758967748e-8,-5175.0610358874665,-73.22711620582959,-2268.0
t27,47025.65055913264,0.0002718910890905612,-0.00019356547576570616,2061.99172402436,-5745.324025026606,5.462299058551887e-7,6.10540808731711e-8,4563.830952230671,-64.578210518977,-47581.0,7094.411297889645,0.0002788660684399236,-0.000203878202165326,113.39926936066499,-229.82326957766807,5.440183448495676e-7,6.409873036974445e-8,-4563.830952230671,-64.578210518977,-2285.0
