Region,Resource,Zone,Cluster,AnnualSum
TRE,TRE_batteries_1,1,1,7.463024556727469e7
TRE,TRE_biomass_1,1,1,7.446378627271558e6
TRE,TRE_conventional_hydroelectric_1,1,1,1.6105251413745001e7
TRE,TRE_conventional_steam_coal_1,1,1,1.251651654412239e9
TRE,TRE_conventional_steam_coal_2,1,2,602.5288612708022
TRE,TRE_natural_gas_fired_combined_cycle_1,1,1,2.336841518897327e8
TRE,TRE_natural_gas_fired_combined_cycle_2,1,2,3.948318952524542e9
TRE,TRE_natural_gas_fired_combustion_turbine_1,1,1,1.391759726952396e8
TRE,TRE_natural_gas_fired_combustion_turbine_2,1,2,3.045599379104941e7
TRE,TRE_natural_gas_internal_combustion_engine_1,1,1,6.377446394077373e7
TRE,TRE_natural_gas_steam_turbine_1,1,1,44.217244677207894
TRE,TRE_nuclear_1,1,1,1.119062758784182e9
TRE,TRE_onshore_wind_turbine_1,1,1,5.335749396781084e6
TRE,TRE_petroleum_liquids_1,1,1,54.10559186752892
TRE,TRE_small_hydroelectric_1,1,1,199527.00898666828
TRE,TRE_solar_photovoltaic_1,1,1,4.221074024807839e8
TRE_WEST,TRE_WEST_batteries_1,2,1,6.4114736169350736e7
TRE_WEST,TRE_WEST_natural_gas_fired_combined_cycle_1,2,1,5.412309011555371e8
TRE_WEST,TRE_WEST_natural_gas_fired_combined_cycle_2,2,2,1.2766182792886822e6
TRE_WEST,TRE_WEST_natural_gas_fired_combustion_turbine_1,2,1,1.479887138513807e7
TRE_WEST,TRE_WEST_natural_gas_fired_combustion_turbine_2,2,2,5.7094336652195025e6
TRE_WEST,TRE_WEST_natural_gas_internal_combustion_engine_1,2,1,658094.5176891915
TRE_WEST,TRE_WEST_natural_gas_steam_turbine_1,2,1,47.03840291135945
TRE_WEST,TRE_WEST_onshore_wind_turbine_1,2,1,1.0941614988068974e9
TRE_WEST,TRE_WEST_petroleum_liquids_1,2,1,45.73678576179759
TRE_WEST,TRE_WEST_solar_photovoltaic_1,2,1,3.484546558546894e8
TRE,TRE_distributed_generation_1,1,1,4.8725498480831766e8
TRE_WEST,TRE_WEST_distributed_generation_1,2,1,2.3702057865565762e7
TRE,TRE_naturalgas_ccccsavgcf_conservative_0,1,0,47.193442772232444
TRE,TRE_naturalgas_ccavgcf_moderate_0,1,0,259.5773826441114
TRE,TRE_naturalgas_ctavgcf_moderate_0,1,0,41.137947102605104
TRE,TRE_battery_moderate_0,1,0,80.7508894100827
TRE,TRE_nuclear_nuclear_moderate_0,1,0,20.95044884355106
TRE,TRE_geothermal_hydroflash_moderate_0,1,0,0.0
TRE,TRE_landbasedwind_class3_moderate_0,1,0,3.001591508145755e9
TRE,TRE_landbasedwind_class3_moderate_1,1,1,17.22483568102216
TRE,TRE_landbasedwind_class3_moderate_2,1,2,24.509968956952942
TRE,TRE_landbasedwind_class3_moderate_3,1,3,8.393008564107705
TRE,TRE_landbasedwind_class3_moderate_4,1,4,6.818258894659183
TRE,TRE_landbasedwind_class3_moderate_5,1,5,10.206128941015765
TRE,TRE_landbasedwind_class3_moderate_6,1,6,1.95928227084137
TRE,TRE_landbasedwind_class3_moderate_7,1,7,2.7705632458611507
TRE,TRE_landbasedwind_class3_moderate_8,1,8,2.5964404395456557
TRE,TRE_utilitypv_class1_moderate_0,1,0,130.37368900390356
TRE,TRE_utilitypv_class1_moderate_1,1,1,107.92419438102951
TRE,TRE_utilitypv_class1_moderate_2,1,2,9.155019954851645e8
TRE,TRE_utilitypv_class1_moderate_3,1,3,10.200719621231993
TRE,TRE_utilitypv_class1_moderate_4,1,4,9.525682338137155
TRE,TRE_utilitypv_class1_moderate_5,1,5,10.322975265999329
TRE,TRE_utilitypv_class1_moderate_6,1,6,5.541036070992564
TRE,TRE_utilitypv_class1_moderate_7,1,7,3.824638608259013
TRE,TRE_utilitypv_class1_moderate_8,1,8,4.362513729578221
