Resource,RE_DAC_1,RE_DAC_2,RE_DAC_1,RE_DAC_2,RE_DAC_1,RE_DAC_2
Zone,1,2,1,2,1,2
MWelec,Total_Consumption,Total_Consumption,Heat,Heat,Electricity,Electricity
x1,195.99287640635194,0.0,160.59616963062282,0.0,35.39670677572911,0.0
x2,195.99287640508547,0.0,160.5961696295851,0.0,35.396706775500384,0.0
x3,195.99287640422958,0.0,160.59616962888376,0.0,35.396706775345805,0.0
x4,195.99287640144965,0.0,160.5961696266059,0.0,35.39670677484375,0.0
x5,195.99287639898043,0.0,160.59616962458264,0.0,35.3967067743978,0.0
x6,195.99287639567243,0.0,160.59616962187204,0.0,35.39670677380037,0.0
x7,195.99287639242198,0.0,160.59616961920864,0.0,35.39670677321333,0.0
x8,195.9928763314889,0.0,160.5961695692802,0.0,35.396706762208694,0.0
x9,18.190323560319765,0.0,14.90511462300449,0.0,3.285208937315275,0.0
x10,195.99287640467338,0.0,160.5961696292474,0.0,35.39670677542596,0.0
x11,195.99287641939952,0.0,160.596169641314,0.0,35.39670677808553,0.0
x12,195.99287642403823,0.0,160.5961696451149,0.0,35.39670677892329,0.0
x13,195.99287642537402,0.0,160.5961696462095,0.0,35.39670677916454,0.0
x14,195.99287642514287,0.0,160.5961696460201,0.0,35.39670677912279,0.0
x15,195.99287642910448,0.0,160.59616964926622,0.0,35.39670677983826,0.0
x16,195.99287642982745,0.0,160.5961696498586,0.0,35.39670677996883,0.0
x17,195.9928764309458,0.0,160.596169650775,0.0,35.39670678017082,0.0
x18,195.99287288908792,0.0,160.59616674858376,0.0,35.39670614050417,0.0
x19,195.9928543722385,0.0,160.5961515759145,0.0,35.39670279632401,0.0
x20,195.9928682485928,0.0,160.59616294617135,0.0,35.39670530242144,0.0
x21,195.99286825223348,0.0,160.59616294915452,0.0,35.39670530307895,0.0
x22,195.99286825341497,0.0,160.59616295012265,0.0,35.396705303292336,0.0
x23,195.99286825445517,0.0,160.59616295097496,0.0,35.396705303480196,0.0
x24,195.9928682569616,0.0,160.59616295302874,0.0,35.39670530393286,0.0
x25,195.99286825547784,0.0,160.59616295181294,0.0,35.39670530366489,0.0
x26,195.99286825510669,0.0,160.59616295150883,0.0,35.39670530359786,0.0
x27,195.99286825655287,0.0,160.59616295269382,0.0,35.396705303859044,0.0
x28,195.99286825535773,0.0,160.59616295171452,0.0,35.3967053036432,0.0
x29,195.99286825402854,0.0,160.5961629506254,0.0,35.396705303403145,0.0
x30,195.9928682541224,0.0,160.5961629507023,0.0,35.3967053034201,0.0
x31,195.9928682450276,0.0,160.59616294325002,0.0,35.39670530177756,0.0
x32,195.99286818139518,0.0,160.59616289110977,0.0,35.39670529028542,0.0
x33,195.99286885892352,0.0,160.5961634462751,0.0,35.39670541264839,0.0
x34,195.99287007005856,0.0,160.59616443867674,0.0,35.396705631381806,0.0
x35,195.99287007012697,0.0,160.5961644387328,0.0,35.39670563139417,0.0
x36,195.9928700679964,0.0,160.596164436987,0.0,35.396705631009375,0.0
x37,195.99287007131338,0.0,160.59616443970495,0.0,35.396705631608434,0.0
x38,195.99287007186797,0.0,160.59616444015938,0.0,35.39670563170859,0.0
x39,195.99287007380062,0.0,160.59616444174299,0.0,35.39670563205763,0.0
x40,195.99287007087347,0.0,160.59616443934448,0.0,35.39670563152898,0.0
x41,195.99286830727897,0.0,160.5961629942587,0.0,35.39670531302028,0.0
x42,195.992868308877,0.0,160.5961629955681,0.0,35.396705313308885,0.0
x43,195.99284258674456,0.0,160.5961419189044,0.0,35.39670066784015,0.0
x44,195.9928426072116,0.0,160.59614193567504,0.0,35.396700671536536,0.0
x45,195.9928426058524,0.0,160.59614193456133,0.0,35.396700671291065,0.0
x46,195.9928426072416,0.0,160.59614193569965,0.0,35.39670067154196,0.0
x47,195.9928426044065,0.0,160.59614193337654,0.0,35.39670067102993,0.0
x48,195.99284260641423,0.0,160.59614193502168,0.0,35.39670067139253,0.0
x49,195.9928426498832,0.0,160.59614197064008,0.0,35.39670067924312,0.0
x50,195.99286830578384,0.0,160.59616299303357,0.0,35.39670531275026,0.0
x51,195.9928683038615,0.0,160.5961629914584,0.0,35.39670531240308,0.0
x52,195.9928683009457,0.0,160.5961629890692,0.0,35.396705311876474,0.0
x53,195.99286829958785,0.0,160.5961629879566,0.0,35.396705311631244,0.0
x54,195.99286829838644,0.0,160.59616298697216,0.0,35.39670531141427,0.0
x55,195.99286829479684,0.0,160.59616298403085,0.0,35.39670531076598,0.0
x56,195.99286829234637,0.0,160.59616298202295,0.0,35.39670531032342,0.0
x57,195.99286817228833,0.0,160.59616288364762,0.0,35.396705288640696,0.0
x58,195.99287643304496,0.0,160.59616965249504,0.0,35.39670678054993,0.0
x59,195.99287643120599,0.0,160.59616965098817,0.0,35.3967067802178,0.0
x60,195.99287643136026,0.0,160.5961696511146,0.0,35.396706780245665,0.0
x61,195.99287642979854,0.0,160.5961696498349,0.0,35.39670677996361,0.0
x62,195.9928764295439,0.0,160.5961696496263,0.0,35.39670677991763,0.0
x63,195.9928764284156,0.0,160.59616964870173,0.0,35.396706779713845,0.0
x64,195.99287642887367,0.0,160.5961696490771,0.0,35.39670677979658,0.0
x65,195.99287642890448,0.0,160.59616964910234,0.0,35.396706779802145,0.0
x66,195.99287642943148,0.0,160.59616964953415,0.0,35.396706779897315,0.0
x67,195.9928750381753,0.0,160.59616850954163,0.0,35.396706528633665,0.0
x68,195.99287503648267,0.0,160.5961685081547,0.0,35.39670652832797,0.0
x69,195.99287643029632,0.0,160.59616965024279,0.0,35.39670678005351,0.0
x70,195.9928764285849,0.0,160.5961696488405,0.0,35.39670677974443,0.0
x71,195.99287642806962,0.0,160.59616964841825,0.0,35.39670677965137,0.0
x72,195.99287642855688,0.0,160.59616964881752,0.0,35.39670677973937,0.0
x73,195.99287642756616,0.0,160.5961696480057,0.0,35.39670677956044,0.0
x74,195.99287642723445,0.0,160.59616964773392,0.0,35.39670677950053,0.0
x75,195.99287642768823,0.0,160.59616964810573,0.0,35.39670677958249,0.0
x76,195.99287642622699,0.0,160.5961696469084,0.0,35.396706779318585,0.0
x77,195.99287642562112,0.0,160.59616964641194,0.0,35.39670677920916,0.0
x78,195.9928715025376,0.0,160.59616561244718,0.0,35.3967058900904,0.0
x79,195.99286417018652,0.0,160.59615960433345,0.0,35.396704565853085,0.0
x80,18.190324688142756,0.0,14.905115547140385,0.0,3.2852091410023703,0.0
x81,195.9928633648674,0.0,160.59615894445653,0.0,35.39670442041083,0.0
x82,195.99287279195283,0.0,160.59616666899146,0.0,35.39670612296138,0.0
x83,195.99287150497614,0.0,160.5961656144453,0.0,35.396705890530804,0.0
x84,195.99287640758664,0.0,160.59616963163452,0.0,35.3967067759521,0.0
x85,195.99287641071825,0.0,160.59616963420058,0.0,35.396706776517675,0.0
x86,195.99287641208653,0.0,160.59616963532173,0.0,35.39670677676479,0.0
x87,195.99287641264152,0.0,160.5961696357765,0.0,35.396706776865024,0.0
x88,195.99287641500868,0.0,160.59616963771612,0.0,35.39670677729253,0.0
x89,195.99287284504751,0.0,160.5961667124971,0.0,35.396706132550385,0.0
x90,195.99286813682423,0.0,160.5961628545884,0.0,35.396705282235814,0.0
x91,195.99286813550003,0.0,160.59616285350336,0.0,35.39670528199665,0.0
x92,195.9928681326723,0.0,160.59616285118634,0.0,35.396705281485964,0.0
x93,195.9928681293161,0.0,160.59616284843628,0.0,35.39670528087983,0.0
x94,195.99286812197806,0.0,160.5961628424235,0.0,35.39670527955457,0.0
x95,195.99286811243462,0.0,160.5961628346036,0.0,35.396705277830996,0.0
x96,195.99286810040368,0.0,160.59616282474548,0.0,35.396705275658185,0.0
x97,195.99286808118944,0.0,160.59616280900138,0.0,35.39670527218806,0.0
x98,195.99286805485326,0.0,160.59616278742158,0.0,35.39670526743169,0.0
x99,195.99286801391054,0.0,160.5961627538732,0.0,35.39670526003735,0.0
x100,195.99286794001014,0.0,160.59616269331934,0.0,35.39670524669079,0.0
x101,195.9928677803317,0.0,160.59616256247915,0.0,35.39670521785254,0.0
x102,195.99286676221948,0.0,160.59616172824002,0.0,35.39670503397943,0.0
x103,18.188386388407668,0.0,14.90352730822702,0.0,3.284859080180649,0.0
x104,18.18838594907757,0.0,14.903526948240819,0.0,3.2848590008367515,0.0
x105,195.99286726859816,0.0,160.5961621431657,0.0,35.39670512543244,0.0
x106,195.99286784326836,0.0,160.59616261404932,0.0,35.39670522921903,0.0
x107,195.99286796563823,0.0,160.59616271431895,0.0,35.396705251319275,0.0
x108,195.99286802953523,0.0,160.59616276667603,0.0,35.39670526285921,0.0
x109,195.99286953883228,0.0,160.59616400339098,0.0,35.39670553544128,0.0
x110,195.99286955852858,0.0,160.5961640195301,0.0,35.39670553899847,0.0
x111,195.99286957377052,0.0,160.59616403201932,0.0,35.396705541751196,0.0
x112,195.99286958433078,0.0,160.59616404067236,0.0,35.3967055436584,0.0
x113,195.99286813088312,0.0,160.5961628497203,0.0,35.39670528116284,0.0
x114,195.99286814035514,0.0,160.59616285748163,0.0,35.3967052828735,0.0
x115,195.99286813607492,0.0,160.59616285397442,0.0,35.396705282100484,0.0
x116,195.99286815085983,0.0,160.59616286608917,0.0,35.39670528477067,0.0
x117,195.99286590257293,0.0,160.5961610238474,0.0,35.396704878725544,0.0
x118,195.99286815625956,0.0,160.59616287051367,0.0,35.39670528574587,0.0
x119,195.99286815763702,0.0,160.59616287164238,0.0,35.39670528599464,0.0
x120,195.99286815822586,0.0,160.59616287212486,0.0,35.39670528610099,0.0
x121,195.9928728550978,0.0,160.5961667207323,0.0,35.39670613436549,0.0
x122,195.99287641989866,0.0,160.59616964172298,0.0,35.39670677817568,0.0
x123,195.9928764170847,0.0,160.5961696394172,0.0,35.39670677766746,0.0
x124,195.99287641320393,0.0,160.59616963623733,0.0,35.396706776966596,0.0
x125,195.99287640953563,0.0,160.59616963323154,0.0,35.39670677630409,0.0
x126,195.99287639038192,0.0,160.59616961753704,0.0,35.396706772844894,0.0
x127,195.99287640405169,0.0,160.59616962873798,0.0,35.396706775313675,0.0
x128,195.9928764040659,0.0,160.59616962874964,0.0,35.39670677531625,0.0
x129,195.9928764377233,0.0,160.59616965632847,0.0,35.39670678139484,0.0
x130,195.9928764351496,0.0,160.59616965421958,0.0,35.396706780930025,0.0
x131,195.99287643347287,0.0,160.59616965284567,0.0,35.396706780627206,0.0
x132,195.99287643546808,0.0,160.59616965448052,0.0,35.39670678098754,0.0
x133,195.99287643459846,0.0,160.59616965376796,0.0,35.39670678083049,0.0
x134,195.9928764347581,0.0,160.59616965389878,0.0,35.39670678085932,0.0
x135,195.99287643538764,0.0,160.5961696544146,0.0,35.39670678097301,0.0
x136,195.992876434582,0.0,160.59616965375446,0.0,35.396706780827515,0.0
x137,195.99287643475643,0.0,160.59616965389742,0.0,35.39670678085902,0.0
x138,195.99287643531142,0.0,160.59616965435217,0.0,35.39670678095925,0.0
x139,195.99287643535885,0.0,160.59616965439105,0.0,35.39670678096782,0.0
x140,195.99287639375234,0.0,160.59616962029875,0.0,35.396706773453595,0.0
x141,195.9928764120409,0.0,160.59616963528435,0.0,35.39670677675655,0.0
x142,195.9928764144786,0.0,160.5961696372818,0.0,35.3967067771968,0.0
x143,195.9928764157299,0.0,160.59616963830712,0.0,35.39670677742279,0.0
x144,195.99287641717925,0.0,160.5961696394947,0.0,35.39670677768454,0.0
x145,195.99287641696478,0.0,160.59616963931896,0.0,35.39670677764581,0.0
x146,195.99287641691762,0.0,160.59616963928033,0.0,35.39670677763729,0.0
x147,195.9928764179476,0.0,160.5961696401243,0.0,35.396706777823304,0.0
x148,195.99287641755924,0.0,160.59616963980608,0.0,35.396706777753174,0.0
x149,195.9928764182826,0.0,160.59616964039878,0.0,35.396706777883814,0.0
x150,195.99287271320955,0.0,160.59616660446937,0.0,35.39670610874018,0.0
x151,195.9928727114381,0.0,160.59616660301785,0.0,35.396706108420254,0.0
x152,195.99287217344352,0.0,160.59616616218614,0.0,35.39670601125735,0.0
x153,195.99287363219324,0.0,160.59616735748273,0.0,35.39670627471048,0.0
x154,195.99287362790088,0.0,160.5961673539656,0.0,35.39670627393527,0.0
x155,195.9928736262675,0.0,160.59616735262722,0.0,35.396706273640284,0.0
x156,195.99286867262757,0.0,160.59616329362458,0.0,35.39670537900297,0.0
x157,195.9928680969263,0.0,160.59616282189612,0.0,35.396705275030165,0.0
x158,195.99286807381097,0.0,160.59616280295546,0.0,35.396705270855485,0.0
x159,195.99286804116227,0.0,160.5961627762032,0.0,35.39670526495907,0.0
x160,195.99286797556576,0.0,160.59616272245353,0.0,35.39670525311221,0.0
x161,195.99286783443597,0.0,160.59616260681207,0.0,35.39670522762388,0.0
x162,195.99286693863962,0.0,160.59616187279835,0.0,35.39670506584127,0.0
x163,18.188535570246508,0.0,14.9036495475264,0.0,3.2848860227201047,0.0
x164,195.9928669274187,0.0,160.59616186360395,0.0,35.39670506381474,0.0
x165,195.99286783669874,0.0,160.5961626086662,0.0,35.396705228032545,0.0
x166,195.9928679863855,0.0,160.59616273131923,0.0,35.39670525506627,0.0
x167,195.99286805077384,0.0,160.5961627840789,0.0,35.39670526669494,0.0
x168,195.99286809096367,0.0,160.59616281701037,0.0,35.3967052739533,0.0
x169,195.99286812734735,0.0,160.59616284682306,0.0,35.396705280524266,0.0
x170,195.9928681361799,0.0,160.59616285406045,0.0,35.39670528211945,0.0
x171,195.99286815047668,0.0,160.5961628657752,0.0,35.39670528470147,0.0
x172,195.99286816009143,0.0,160.59616287365353,0.0,35.396705286437914,0.0
x173,195.99286816836675,0.0,160.5961628804343,0.0,35.396705287932456,0.0
x174,195.9928681760403,0.0,160.596162886722,0.0,35.39670528931831,0.0
x175,195.99286818040684,0.0,160.59616289029992,0.0,35.396705290106915,0.0
x176,195.99286818455195,0.0,160.5961628936964,0.0,35.39670529085553,0.0
x177,195.99286818816896,0.0,160.59616289666016,0.0,35.396705291508766,0.0
x178,195.99286818941295,0.0,160.5961628976795,0.0,35.39670529173344,0.0
x179,195.99286819108553,0.0,160.59616289905003,0.0,35.39670529203551,0.0
x180,195.99286819276574,0.0,160.59616290042678,0.0,35.396705292338964,0.0
x181,195.99286819099606,0.0,160.5961628989767,0.0,35.396705292019355,0.0
x182,195.99286818943992,0.0,160.5961628977016,0.0,35.39670529173831,0.0
x183,195.99286818669387,0.0,160.5961628954515,0.0,35.39670529124237,0.0
x184,195.9928681779446,0.0,160.59616288828235,0.0,35.39670528966223,0.0
x185,195.99286816033032,0.0,160.59616287384927,0.0,35.39670528648106,0.0
x186,195.99286805287682,0.0,160.59616278580205,0.0,35.396705267074736,0.0
x187,195.99286829810916,0.0,160.59616298674496,0.0,35.396705311364194,0.0
x188,195.99286829757574,0.0,160.59616298630786,0.0,35.39670531126785,0.0
x189,195.99286829746077,0.0,160.59616298621367,0.0,35.39670531124709,0.0
x190,195.9928682949444,0.0,160.59616298415176,0.0,35.39670531079263,0.0
x191,195.99286829353557,0.0,160.59616298299738,0.0,35.396705310538195,0.0
x192,195.9928682934024,0.0,160.59616298288827,0.0,35.39670531051414,0.0
x193,195.9928688700646,0.0,160.5961634554041,0.0,35.396705414660495,0.0
x194,195.9928750565605,0.0,160.5961685246064,0.0,35.39670653195407,0.0
x195,195.99287505568986,0.0,160.59616852389303,0.0,35.39670653179683,0.0
x196,195.99287505334794,0.0,160.59616852197405,0.0,35.39670653137387,0.0
x197,195.99287505307882,0.0,160.59616852175353,0.0,35.396706531325265,0.0
x198,195.99287505389728,0.0,160.5961685224242,0.0,35.39670653147308,0.0
x199,195.99287291082743,0.0,160.59616676639706,0.0,35.39670614443037,0.0
