Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
TRE_batteries_1,1,2267.8,0.0,0.0,2267.8,3695.5,0.0,0.0,3695.5,0.0,0.0,0.0,0.0
TRE_biomass_1,1,33.9,0.0,0.0,33.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_conventional_hydroelectric_1,1,483.0,0.0,0.0,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_conventional_steam_coal_1,1,6063.6,3.6081134941462553e-6,0.0,6063.599996391887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_conventional_steam_coal_2,1,6227.0,6226.996864390811,0.0,0.0031356091885754722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_natural_gas_fired_combined_cycle_1,1,6615.8,5.896293663164932e-5,0.0,6615.799941037064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_natural_gas_fired_combined_cycle_2,1,30909.3,6.406117081717277e-6,0.0,30909.299993593882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_natural_gas_fired_combustion_turbine_1,1,6658.1,3.2028265455534614e-5,0.0,6658.099967971735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_natural_gas_fired_combustion_turbine_2,1,1648.3,7.418302266135439e-5,0.0,1648.2999258169773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_natural_gas_internal_combustion_engine_1,1,845.3,6.014713705073032e-5,0.0,845.2999398528628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_natural_gas_steam_turbine_1,1,7739.2,7739.199190850681,0.0,0.0008091493191386689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_nuclear_1,1,5120.0,0.0,0.0,5120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
