Resource,RE_DAC_1,RE_DAC_2,RE_DAC_1,RE_DAC_2
Zone,1,2,1,2
CO2,CO2 gross,CO2 gross,CO2 net,CO2 net
x1,-117.9890225857637,-0.0,-117.9890225857637,0.0
x2,-117.98902258500128,-0.0,-117.98902258500128,0.0
x3,-117.98902258448602,-0.0,-117.98902258448602,0.0
x4,-117.9890225828125,-0.0,-117.9890225828125,0.0
x5,-117.98902258132601,-0.0,-117.98902258132601,0.0
x6,-117.98902257933456,-0.0,-117.98902257933456,0.0
x7,-117.98902257737777,-0.0,-117.98902257737777,0.0
x8,-117.98902254069566,-0.0,-117.98902254069566,0.0
x9,-10.950696457717584,-0.0,-10.950696457717584,0.0
x10,-117.9890225847532,-0.0,-117.9890225847532,0.0
x11,-117.98902259361843,-0.0,-117.98902259361843,0.0
x12,-117.98902259641096,-0.0,-117.98902259641096,0.0
x13,-117.98902259721513,-0.0,-117.98902259721513,0.0
x14,-117.98902259707597,-0.0,-117.98902259707597,0.0
x15,-117.98902259946088,-0.0,-117.98902259946088,0.0
x16,-117.98902259989612,-0.0,-117.98902259989612,0.0
x17,-117.98902260056938,-0.0,-117.98902260056938,0.0
x18,-117.98902046834723,-0.0,-117.98902046834723,0.0
x19,-117.98900932108003,-0.0,-117.98900932108003,0.0
x20,-117.98901767473814,-0.0,-117.98901767473814,0.0
x21,-117.98901767692985,-0.0,-117.98901767692985,0.0
x22,-117.98901767764112,-0.0,-117.98901767764112,0.0
x23,-117.98901767826732,-0.0,-117.98901767826732,0.0
x24,-117.98901767977621,-0.0,-117.98901767977621,0.0
x25,-117.98901767888297,-0.0,-117.98901767888297,0.0
x26,-117.98901767865954,-0.0,-117.98901767865954,0.0
x27,-117.98901767953015,-0.0,-117.98901767953015,0.0
x28,-117.98901767881067,-0.0,-117.98901767881067,0.0
x29,-117.98901767801048,-0.0,-117.98901767801048,0.0
x30,-117.989017678067,-0.0,-117.989017678067,0.0
x31,-117.98901767259186,-0.0,-117.98901767259186,0.0
x32,-117.98901763428472,-0.0,-117.98901763428472,0.0
x33,-117.9890180421613,-0.0,-117.9890180421613,0.0
x34,-117.9890187712727,-0.0,-117.9890187712727,0.0
x35,-117.9890187713139,-0.0,-117.9890187713139,0.0
x36,-117.98901877003127,-0.0,-117.98901877003127,0.0
x37,-117.98901877202812,-0.0,-117.98901877202812,0.0
x38,-117.98901877236199,-0.0,-117.98901877236199,0.0
x39,-117.98901877352544,-0.0,-117.98901877352544,0.0
x40,-117.98901877176328,-0.0,-117.98901877176328,0.0
x41,-117.9890177100676,-0.0,-117.9890177100676,0.0
x42,-117.98901771102963,-0.0,-117.98901771102963,0.0
x43,-117.98900222613385,-0.0,-117.98900222613385,0.0
x44,-117.98900223845513,-0.0,-117.98900223845513,0.0
x45,-117.98900223763688,-0.0,-117.98900223763688,0.0
x46,-117.9890022384732,-0.0,-117.9890022384732,0.0
x47,-117.98900223676644,-0.0,-117.98900223676644,0.0
x48,-117.98900223797511,-0.0,-117.98900223797511,0.0
x49,-117.98900226414372,-0.0,-117.98900226414372,0.0
x50,-117.98901770916753,-0.0,-117.98901770916753,0.0
x51,-117.98901770801027,-0.0,-117.98901770801027,0.0
x52,-117.98901770625493,-0.0,-117.98901770625493,0.0
x53,-117.98901770543749,-0.0,-117.98901770543749,0.0
x54,-117.98901770471424,-0.0,-117.98901770471424,0.0
x55,-117.98901770255327,-0.0,-117.98901770255327,0.0
x56,-117.98901770107807,-0.0,-117.98901770107807,0.0
x57,-117.98901762880233,-0.0,-117.98901762880233,0.0
x58,-117.98902260183308,-0.0,-117.98902260183308,0.0
x59,-117.989022600726,-0.0,-117.989022600726,0.0
x60,-117.98902260081888,-0.0,-117.98902260081888,0.0
x61,-117.98902259987871,-0.0,-117.98902259987871,0.0
x62,-117.98902259972543,-0.0,-117.98902259972543,0.0
x63,-117.98902259904617,-0.0,-117.98902259904617,0.0
x64,-117.98902259932194,-0.0,-117.98902259932194,0.0
x65,-117.98902259934049,-0.0,-117.98902259934049,0.0
x66,-117.98902259965773,-0.0,-117.98902259965773,0.0
x67,-117.98902176211222,-0.0,-117.98902176211222,0.0
x68,-117.98902176109324,-0.0,-117.98902176109324,0.0
x69,-117.98902260017837,-0.0,-117.98902260017837,0.0
x70,-117.9890225991481,-0.0,-117.9890225991481,0.0
x71,-117.98902259883789,-0.0,-117.98902259883789,0.0
x72,-117.98902259913123,-0.0,-117.98902259913123,0.0
x73,-117.9890225985348,-0.0,-117.9890225985348,0.0
x74,-117.98902259833511,-0.0,-117.98902259833511,0.0
x75,-117.98902259860829,-0.0,-117.98902259860829,0.0
x76,-117.98902259772862,-0.0,-117.98902259772862,0.0
x77,-117.98902259736387,-0.0,-117.98902259736387,0.0
x78,-117.98901963363467,-0.0,-117.98901963363467,0.0
x79,-117.98901521951028,-0.0,-117.98901521951028,0.0
x80,-10.950697136674568,-0.0,-10.950697136674568,0.0
x81,-117.98901473470276,-0.0,-117.98901473470276,0.0
x82,-117.98902040987127,-0.0,-117.98902040987127,0.0
x83,-117.98901963510268,-0.0,-117.98901963510268,0.0
x84,-117.98902258650699,-0.0,-117.98902258650699,0.0
x85,-117.98902258839226,-0.0,-117.98902258839226,0.0
x86,-117.98902258921596,-0.0,-117.98902258921596,0.0
x87,-117.98902258955007,-0.0,-117.98902258955007,0.0
x88,-117.98902259097511,-0.0,-117.98902259097511,0.0
x89,-117.98902044183461,-0.0,-117.98902044183461,0.0
x90,-117.98901760745271,-0.0,-117.98901760745271,0.0
x91,-117.98901760665552,-0.0,-117.98901760665552,0.0
x92,-117.98901760495322,-0.0,-117.98901760495322,0.0
x93,-117.98901760293276,-0.0,-117.98901760293276,0.0
x94,-117.98901759851522,-0.0,-117.98901759851522,0.0
x95,-117.98901759277,-0.0,-117.98901759277,0.0
x96,-117.9890175855273,-0.0,-117.9890175855273,0.0
x97,-117.9890175739602,-0.0,-117.9890175739602,0.0
x98,-117.98901755810564,-0.0,-117.98901755810564,0.0
x99,-117.98901753345784,-0.0,-117.98901753345784,0.0
x100,-117.98901748896931,-0.0,-117.98901748896931,0.0
x101,-117.98901739284182,-0.0,-117.98901739284182,0.0
x102,-117.98901677993145,-0.0,-117.98901677993145,0.0
x103,-10.94953026726883,-0.0,-10.94953026726883,0.0
x104,-10.949530002789173,-0.0,-10.949530002789173,0.0
x105,-117.9890170847748,-0.0,-117.9890170847748,0.0
x106,-117.9890174307301,-0.0,-117.9890174307301,0.0
x107,-117.9890175043976,-0.0,-117.9890175043976,0.0
x108,-117.98901754286402,-0.0,-117.98901754286402,0.0
x109,-117.98901845147093,-0.0,-117.98901845147093,0.0
x110,-117.98901846332824,-0.0,-117.98901846332824,0.0
x111,-117.98901847250399,-0.0,-117.98901847250399,0.0
x112,-117.98901847886133,-0.0,-117.98901847886133,0.0
x113,-117.98901760387612,-0.0,-117.98901760387612,0.0
x114,-117.98901760957834,-0.0,-117.98901760957834,0.0
x115,-117.98901760700161,-0.0,-117.98901760700161,0.0
x116,-117.98901761590224,-0.0,-117.98901761590224,0.0
x117,-117.98901626241849,-0.0,-117.98901626241849,0.0
x118,-117.9890176191529,-0.0,-117.9890176191529,0.0
x119,-117.98901761998215,-0.0,-117.98901761998215,0.0
x120,-117.98901762033664,-0.0,-117.98901762033664,0.0
x121,-117.98902044788495,-0.0,-117.98902044788495,0.0
x122,-117.98902259391892,-0.0,-117.98902259391892,0.0
x123,-117.98902259222488,-0.0,-117.98902259222488,0.0
x124,-117.98902258988865,-0.0,-117.98902258988865,0.0
x125,-117.98902258768031,-0.0,-117.98902258768031,0.0
x126,-117.98902257614965,-0.0,-117.98902257614965,0.0
x127,-117.98902258437893,-0.0,-117.98902258437893,0.0
x128,-117.98902258438748,-0.0,-117.98902258438748,0.0
x129,-117.98902260464948,-0.0,-117.98902260464948,0.0
x130,-117.9890226031001,-0.0,-117.9890226031001,0.0
