Resource,Zone,AnnualSum,Capacity,CapacityFactor
TRE_batteries_1,1,1.2502444821069106e6,2267.8,0.0
TRE_biomass_1,1,296963.99999999214,33.9,0.9999999999999736
TRE_conventional_hydroelectric_1,1,359959.71254613233,483.0,0.0850751374462625
TRE_conventional_steam_coal_1,1,3.729501746841192e7,6063.599996391887,0.7021277933848716
TRE_conventional_steam_coal_2,1,17.8669423599177,0.0031356091885754722,0.0
TRE_natural_gas_fired_combined_cycle_1,1,2.608811158567374e6,6615.799941037064,0.04501488794119428
TRE_natural_gas_fired_combined_cycle_2,1,9.75072517439452e7,30909.299993593882,0.3601170137550705
TRE_natural_gas_fired_combustion_turbine_1,1,383170.024198601,6658.099967971735,0.00656957248354907
TRE_natural_gas_fired_combustion_turbine_2,1,25981.15616556541,1648.2999258169773,0.0017993602745313348
TRE_natural_gas_internal_combustion_engine_1,1,981865.0510708123,845.2999398528628,0.13259796458948284
TRE_natural_gas_steam_turbine_1,1,1.017431732988231,0.0008091493191386689,0.0
TRE_nuclear_1,1,3.744784258457468e7,5120.0,0.8349351318264545
TRE_onshore_wind_turbine_1,1,225686.7184184975,124.09124717942359,0.2076159649127003
TRE_petroleum_liquids_1,1,0.1892435396372721,0.0027982386944245263,0.0
TRE_small_hydroelectric_1,1,9254.616000000166,11.2,0.09432705479452225
TRE_solar_photovoltaic_1,1,1.773553613552539e7,11155.599994145552,0.18148773555375697
TRE_WEST_batteries_1,2,1.1168942738806203e6,1937.5,0.0
TRE_WEST_natural_gas_fired_combined_cycle_1,2,1.5416130218920894e7,3197.1999910249547,0.5504291948304512
TRE_WEST_natural_gas_fired_combined_cycle_2,2,7087.321393211079,55.33922911156941,0.014619917309143807
TRE_WEST_natural_gas_fired_combustion_turbine_1,2,11021.618799177986,871.9999540189092,0.0014428620737970087
TRE_WEST_natural_gas_fired_combustion_turbine_2,2,4369.896656147235,335.9999629113978,0.0014846628134201983
TRE_WEST_natural_gas_internal_combustion_engine_1,2,11020.007082403356,9.099962852973011,0.138241407838544
TRE_WEST_natural_gas_steam_turbine_1,2,1.136432480780376,0.0009327487347263741,0.0
TRE_WEST_onshore_wind_turbine_1,2,5.785564216072455e7,25445.569649335677,0.2595550208476364
TRE_WEST_petroleum_liquids_1,2,0.1857598228133654,0.002488715609125336,0.0
TRE_WEST_solar_photovoltaic_1,2,1.6438715418505702e7,9661.599996908712,0.19422928786582436
TRE_distributed_generation_1,1,1.6898698641000044e7,8153.0,0.2366092465753431
TRE_WEST_distributed_generation_1,2,918199.0120000045,443.0,0.2366077625570788
TRE_naturalgas_ccccsavgcf_conservative_0,1,1.5681680462109064,0.00026687072166101984,0.0
TRE_naturalgas_ccavgcf_moderate_0,1,7.426875626109379,0.0013730340158694162,0.0
TRE_naturalgas_ctavgcf_moderate_0,1,1.0751589209918717,0.0004464355844154622,0.0
TRE_battery_moderate_0,1,2.16362705738435,0.001699133668608037,0.0
TRE_nuclear_nuclear_moderate_0,1,0.7390209502528636,0.0001281433603572871,0.0
TRE_geothermal_hydroflash_moderate_0,1,0.0,0.0,0.0
TRE_landbasedwind_class3_moderate_0,1,1.8284535743691e8,42784.620701834654,0.4878565558343807
TRE_landbasedwind_class3_moderate_1,1,0.9255447971376175,0.00030310182025301965,0.0
TRE_landbasedwind_class3_moderate_2,1,1.3595150031198875,0.00038957745503835097,0.0
TRE_landbasedwind_class3_moderate_3,1,0.4473570180870714,0.0001758873567789746,0.0
TRE_landbasedwind_class3_moderate_4,1,0.35764007774996426,0.00015994258786379922,0.0
TRE_landbasedwind_class3_moderate_5,1,0.5172755902963184,0.00017745013303885576,0.0
TRE_landbasedwind_class3_moderate_6,1,0.0943098122521499,3.665837042347759e-5,0.0
TRE_landbasedwind_class3_moderate_7,1,0.14495872124102716,8.43352064048781e-5,0.0
TRE_landbasedwind_class3_moderate_8,1,0.12200215216522385,4.0003154574656294e-5,0.0
TRE_utilitypv_class1_moderate_0,1,6.489335699759178,0.003029317207047372,0.0
TRE_utilitypv_class1_moderate_1,1,5.369957778051751,0.0023855603743065485,0.0
TRE_utilitypv_class1_moderate_2,1,4.624749890258055e7,20645.376433716472,0.25571802329895266
TRE_utilitypv_class1_moderate_3,1,0.48729165093767157,0.00024362497365956875,0.0
TRE_utilitypv_class1_moderate_4,1,0.45362674349995064,0.0002189829662291807,0.0
TRE_utilitypv_class1_moderate_5,1,0.49518009189886664,0.0002553777692833452,0.0
TRE_utilitypv_class1_moderate_6,1,0.2594557982331235,0.00013118733683791095,0.0
TRE_utilitypv_class1_moderate_7,1,0.1785326732760375,0.00010134977408703515,0.0
TRE_utilitypv_class1_moderate_8,1,0.20313001006335965,0.00011102841798685941,0.0
TRE_offshorewind_class3_moderate_fixed_0_1,1,0.06088547683559158,3.14899536612443e-5,0.0
TRE_offshorewind_class3_moderate_fixed_0_2,1,0.06258246576867228,3.2701320029645414e-5,0.0
TRE_offshorewind_class12_moderate_floating_0_1,1,0.047519007819773806,2.3632332360560203e-5,0.0
TRE_offshorewind_class12_moderate_floating_0_2,1,0.04968477379327134,2.4096139017968172e-5,0.0
TRE_WEST_naturalgas_ccccsavgcf_conservative_0,2,1.3234205821188272,0.000235003855777792,0.0
TRE_WEST_naturalgas_ccavgcf_moderate_0,2,4.190117271774927,0.0008546617722404971,0.0
TRE_WEST_naturalgas_ctavgcf_moderate_0,2,0.9445960301761505,0.0004293575105174698,0.0
TRE_WEST_battery_moderate_0,2,1.9456361836297753,0.001419157484176106,0.0
