Region,Resource,Zone,Cluster,AnnualSum
TRE_WEST,TRE_WEST_utilitypv_class1_moderate_4,2,4,0.0
TRE_WEST,TRE_WEST_utilitypv_class1_moderate_5,2,5,0.0
TRE_WEST,TRE_WEST_utilitypv_class1_moderate_6,2,6,0.0
TRE_WEST,TRE_WEST_utilitypv_class1_moderate_7,2,7,0.0
TRE_WEST,TRE_WEST_utilitypv_class1_moderate_8,2,8,0.0
TRE,TRE_trans_light_duty_1,1,1,5.052874891168877e8
TRE_WEST,TRE_WEST_trans_light_duty_1,2,1,2.373804704829146e7
TRE,TRE_comm_water_heat_1,1,1,9.62093015202332e6
TRE_WEST,TRE_WEST_comm_water_heat_1,2,1,453269.6249812709
TRE,TRE_res_water_heat_1,1,1,3.169323527203571e7
TRE_WEST,TRE_WEST_res_water_heat_1,2,1,1.5063180122351379e6
TRE,TRE_comm_space_heat_cool_1,1,1,8.564824565834701e7
TRE_WEST,TRE_WEST_comm_space_heat_cool_1,2,1,4.0237494847496026e6
TRE,TRE_res_space_heat_cool_1,1,1,2.371721974527567e8
TRE_WEST,TRE_WEST_res_space_heat_cool_1,2,1,1.116489382953053e7
