region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
TRE,TRE_batteries_1,1,1,1,0.0,0.0,1.4139733000000002e7,0.0,187536.67231603657,0.0,221569.79243385693,0.0,1.026117991478215e7,7.463024556727469e7,0.0,0.0,0.0,0.0,0.0,7.463024556727469e7,2.4810019379532047e7,4.982022618774264e7
TRE,TRE_biomass_1,1,1,2,0.0,0.0,5.113815e6,0.0,1.9243267199999492e6,2.2405933800000075e7,0.0,0.0,0.0,7.446378627271558e6,0.0,0.0,0.0,0.0,0.0,7.446378627271558e6,2.9444075520000026e7,-2.1997696892728467e7
TRE,TRE_conventional_hydroelectric_1,1,1,3,0.0,0.0,2.2724184e7,0.0,0.0,0.0,0.0,0.0,0.0,1.6105251413745001e7,0.0,0.0,0.0,0.0,0.0,1.6105251413745001e7,2.2724184e7,-6.618932586254999e6
TRE,TRE_conventional_steam_coal_1,1,1,4,0.0,0.0,3.633915477837658e8,0.0,7.011463284061441e7,6.775945248748441e8,0.0,2.4093099371150173e7,0.0,1.251651654412239e9,0.0,0.0,0.0,0.0,0.0,1.251651654412239e9,1.1351938048703744e9,1.1645784954186463e8
TRE,TRE_conventional_steam_coal_2,1,2,5,0.0,0.0,209.0165729012524,0.0,33.58985163664528,382.8224670863073,0.0,13.518525922350424,0.0,602.5288612708022,0.0,0.0,0.0,0.0,0.0,602.5288612708022,638.9474175465555,-36.4185562757533
TRE,TRE_natural_gas_fired_combined_cycle_1,1,1,6,0.0,0.0,1.0409299627227716e8,0.0,1.1400504762939425e7,8.705602836139326e7,0.0,1.1891605631463485e7,0.0,2.336841518897327e8,0.0,0.0,0.0,0.0,0.0,2.336841518897327e8,2.1444113502807334e8,1.9243016861659348e7
TRE,TRE_natural_gas_fired_combined_cycle_2,1,2,7,0.0,0.0,3.3335680043091005e8,0.0,3.500510337607632e8,2.6618992189838214e9,0.0,1.5020312036118644e8,0.0,3.948318952524542e9,0.0,0.0,0.0,0.0,0.0,3.948318952524542e9,3.495510173536681e9,4.528087789878607e8
TRE,TRE_natural_gas_fired_combustion_turbine_1,1,1,8,0.0,0.0,7.00298954631267e7,0.0,2.0231377277686135e6,1.5466083271740278e7,0.0,6.898737064698093e6,0.0,1.391759726952396e8,0.0,0.0,0.0,0.0,0.0,1.391759726952396e8,9.441785352733368e7,4.475811916790593e7
TRE,TRE_natural_gas_fired_combustion_turbine_2,1,2,9,0.0,0.0,2.298554246551775e7,0.0,137180.50455418538,1.0625253625469632e6,0.0,933885.5822490363,0.0,3.045599379104941e7,0.0,0.0,0.0,0.0,0.0,3.045599379104941e7,2.5119133914867934e7,5.336859876181476e6
TRE,TRE_natural_gas_internal_combustion_engine_1,1,1,10,0.0,0.0,1.775129873691012e7,0.0,4.428211380329363e6,3.053403935820008e7,0.0,5.154983074114561e6,0.0,6.377446394077373e7,0.0,0.0,0.0,0.0,0.0,6.377446394077373e7,5.7868532549554124e7,5.9059313912196085e6
TRE,TRE_natural_gas_steam_turbine_1,1,1,11,0.0,0.0,28.056443491814207,0.0,1.0784776369675249,47.96580161999699,0.0,3.948450354681912,0.0,44.217244677207894,0.0,0.0,0.0,0.0,0.0,44.217244677207894,81.04917310346063,-36.83192842625274
TRE,TRE_nuclear_1,1,1,12,0.0,0.0,9.89568e8,0.0,1.0635187294019207e8,2.7784426805625015e8,0.0,4.771742634620931e6,0.0,1.119062758784182e9,2.594724486056414e8,0.0,0.0,0.0,0.0,1.3785352073898234e9,1.378535883631063e9,-676.2412395477295
TRE,TRE_onshore_wind_turbine_1,1,1,13,0.0,0.0,5.335923628715214e6,0.0,0.0,0.0,0.0,0.0,0.0,5.335749396781084e6,0.0,0.0,0.0,0.0,0.0,5.335749396781084e6,5.335923628715214e6,-174.2319341301918
TRE,TRE_petroleum_liquids_1,1,1,14,0.0,0.0,58.76301258291505,0.0,0.936755521204497,32.475440409117496,0.0,5.143993429620798,0.0,54.10559186752892,0.0,0.0,0.0,0.0,0.0,54.10559186752892,97.31920194285783,-43.21361007532891
TRE,TRE_small_hydroelectric_1,1,1,15,0.0,0.0,526937.6,0.0,0.0,0.0,0.0,0.0,0.0,199527.00898666828,0.0,0.0,0.0,0.0,0.0,199527.00898666828,526937.6,-327410.59101333166
TRE,TRE_solar_photovoltaic_1,1,1,16,0.0,0.0,2.5237313866755483e8,0.0,0.0,0.0,0.0,0.0,0.0,4.221074024807839e8,0.0,0.0,0.0,0.0,0.0,4.221074024807839e8,2.5237313866755483e8,1.6973426381322905e8
TRE_WEST,TRE_WEST_batteries_1,2,1,17,0.0,0.0,1.20803125e7,0.0,167534.14108209303,0.0,197937.31224251058,0.0,6.765179108940122e6,6.4114736169350736e7,0.0,0.0,0.0,0.0,0.0,6.4114736169350736e7,1.9210963062264726e7,4.490377310708601e7
TRE_WEST,TRE_WEST_natural_gas_fired_combined_cycle_1,2,1,18,0.0,0.0,3.435071670357211e7,0.0,5.534390748592601e7,3.814490180718687e8,0.0,1.6855750629133165e7,0.0,5.412309011555371e8,0.0,0.0,0.0,0.0,0.0,5.412309011555371e8,4.879993928905e8,5.323150826503712e7
TRE_WEST,TRE_WEST_natural_gas_fired_combined_cycle_2,2,2,19,0.0,0.0,912654.5665080027,0.0,32247.31233911041,266444.30411707395,0.0,61099.27395049504,0.0,1.2766182792886822e6,0.0,0.0,0.0,0.0,0.0,1.2766182792886822e6,1.2724454569146822e6,4172.822373999981
TRE_WEST,TRE_WEST_natural_gas_fired_combustion_turbine_1,2,1,20,0.0,0.0,8.459271553937439e6,0.0,58194.14725965977,582597.2589151477,0.0,207541.4531608631,0.0,1.479887138513807e7,0.0,0.0,0.0,0.0,0.0,1.479887138513807e7,9.307604413273111e6,5.491266971864959e6
TRE_WEST,TRE_WEST_natural_gas_fired_combustion_turbine_2,2,2,21,0.0,0.0,3.25953564020347e6,0.0,23073.054344457403,167541.8377966853,0.0,79976.75535956955,0.0,5.7094336652195025e6,0.0,0.0,0.0,0.0,0.0,5.7094336652195025e6,3.5301272877041823e6,2.17930637751532e6
TRE_WEST,TRE_WEST_natural_gas_internal_combustion_engine_1,2,1,22,0.0,0.0,191099.21991243324,0.0,46284.02974609409,319227.56516306254,0.0,52459.81267961055,0.0,658094.5176891915,0.0,0.0,0.0,0.0,0.0,658094.5176891915,609070.6275012004,49023.890187991085
TRE_WEST,TRE_WEST_natural_gas_steam_turbine_1,2,1,23,0.0,0.0,29.101760523462872,0.0,1.2046184296271987,48.33133697510848,0.0,4.04861052024568,0.0,47.03840291135945,0.0,0.0,0.0,0.0,0.0,47.03840291135945,82.68632644844422,-35.64792353708477
TRE_WEST,TRE_WEST_onshore_wind_turbine_1,2,1,24,0.0,0.0,1.0941594949214342e9,0.0,0.0,0.0,0.0,0.0,0.0,1.0941614988068974e9,0.0,0.0,0.0,0.0,0.0,1.0941614988068974e9,1.0941594949214342e9,2003.8854632377625
TRE_WEST,TRE_WEST_petroleum_liquids_1,2,1,25,0.0,0.0,52.263027791632055,0.0,0.880501560135352,30.487310791739734,0.0,4.782773001695346,0.0,45.73678576179759,0.0,0.0,0.0,0.0,0.0,45.73678576179759,88.41361314520249,-42.6768273834049
TRE_WEST,TRE_WEST_solar_photovoltaic_1,2,1,26,0.0,0.0,2.185743767300658e8,0.0,0.0,0.0,0.0,0.0,0.0,3.484546558546894e8,0.0,0.0,0.0,0.0,0.0,3.484546558546894e8,2.185743767300658e8,1.2988027912462363e8
TRE,TRE_distributed_generation_1,1,1,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8725498480831766e8,0.0,0.0,0.0,0.0,0.0,4.8725498480831766e8,0.0,4.8725498480831766e8
TRE_WEST,TRE_WEST_distributed_generation_1,2,1,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3702057865565762e7,0.0,0.0,0.0,0.0,0.0,2.3702057865565762e7,0.0,2.3702057865565762e7
TRE,TRE_naturalgas_ccccsavgcf_conservative_0,1,0,29,32.81762638409893,0.0,17.88033835128833,0.0,9.409008277265439,39.85969539858875,0.0,3.5402900784350475,0.0,47.193442772232444,0.0,0.0,0.0,0.0,0.0,47.193442772232444,103.50695848967649,-56.31351571744405
TRE,TRE_naturalgas_ccavgcf_moderate_0,1,0,30,64.917048270306,0.0,38.444952444343656,0.0,14.853751252218759,167.683997886298,0.0,8.382087690234345,0.0,259.5773826441114,0.0,0.0,0.0,0.0,0.0,259.5773826441114,294.28183754340074,-34.70445489928932
TRE,TRE_naturalgas_ctavgcf_moderate_0,1,0,31,18.174392641553467,0.0,9.375147272724707,0.0,5.375794604959358,37.09943372774553,0.0,5.478089524567055,0.0,41.137947102605104,0.0,0.0,0.0,0.0,0.0,41.137947102605104,75.50285777155011,-34.36491066894501
TRE,TRE_battery_moderate_0,1,0,32,18.43050290339138,28.799394883950747,10.709639513236457,16.736530958857845,0.3245440586076525,0.0,0.38344052292727165,0.0,25.273082136136143,80.7508894100827,0.0,0.0,0.0,0.0,0.0,80.7508894100827,100.65713497710749,-19.906245567024783
TRE,TRE_nuclear_nuclear_moderate_0,1,0,33,27.8062121940088,0.0,18.703804877749626,0.0,2.098819498718133,5.477918891654327,0.0,1.639773914048901,0.0,20.95044884355106,0.0,0.0,0.0,0.0,0.0,20.95044884355106,55.72652937617979,-34.776080532628725
TRE,TRE_geothermal_hydroflash_moderate_0,1,0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE,TRE_landbasedwind_class3_moderate_0,1,0,35,3.0858407681198244e9,0.0,1.6893507484119413e9,0.0,-1.773599967138027e9,0.0,0.0,0.0,0.0,3.001591508145755e9,0.0,0.0,0.0,0.0,0.0,3.001591508145755e9,3.0015915493937387e9,-41.24798393249512
TRE,TRE_landbasedwind_class3_moderate_1,1,1,36,19.691009752737422,0.0,11.96797537269048,0.0,-8.977784532234889,0.0,0.0,0.0,0.0,17.22483568102216,0.0,0.0,0.0,0.0,0.0,17.22483568102216,22.681200593193015,-5.456364912170855
TRE,TRE_landbasedwind_class3_moderate_2,1,2,37,27.712981841608133,0.0,15.382465812189288,0.0,-13.187295530262908,0.0,0.0,0.0,0.0,24.509968956952942,0.0,0.0,0.0,0.0,0.0,24.509968956952942,29.908152123534514,-5.398183166581571
TRE,TRE_landbasedwind_class3_moderate_3,1,3,38,12.148363845366996,0.0,6.944912282417811,0.0,-4.339363075444592,0.0,0.0,0.0,0.0,8.393008564107705,0.0,0.0,0.0,0.0,0.0,8.393008564107705,14.753913052340216,-6.360904488232512
TRE,TRE_landbasedwind_class3_moderate_4,1,4,39,10.894169487166955,0.0,6.3153330818021125,0.0,-3.4691087541746533,0.0,0.0,0.0,0.0,6.818258894659183,0.0,0.0,0.0,0.0,0.0,6.818258894659183,13.740393814794414,-6.922134920135231
TRE,TRE_landbasedwind_class3_moderate_5,1,5,40,14.159633365835495,0.0,7.00661850303922,0.0,-5.017573225874289,0.0,0.0,0.0,0.0,10.206128941015765,0.0,0.0,0.0,0.0,0.0,10.206128941015765,16.148678643000423,-5.9425497019846585
TRE,TRE_landbasedwind_class3_moderate_6,1,6,41,7.234786011666267,0.0,1.4474557561710126,0.0,-0.914805178845854,0.0,0.0,0.0,0.0,1.95928227084137,0.0,0.0,0.0,0.0,0.0,1.95928227084137,7.767436588991425,-5.808154318150056
TRE,TRE_landbasedwind_class3_moderate_7,1,7,42,6.379030677258575,0.0,3.329975624896612,0.0,-1.4060995960379632,0.0,0.0,0.0,0.0,2.7705632458611507,0.0,0.0,0.0,0.0,0.0,2.7705632458611507,8.302906706117223,-5.532343460256072
TRE,TRE_landbasedwind_class3_moderate_8,1,8,43,7.909983766665087,0.0,1.5795245583803037,0.0,-1.1834208760026712,0.0,0.0,0.0,0.0,2.5964404395456557,0.0,0.0,0.0,0.0,0.0,2.5964404395456557,8.30608744904272,-5.709647009497063
TRE,TRE_utilitypv_class1_moderate_0,1,0,44,143.51390268386925,0.0,49.59901063098662,0.0,-60.0263552227724,0.0,0.0,0.0,0.0,130.37368900390356,0.0,0.0,0.0,0.0,0.0,130.37368900390356,133.08655809208346,-2.7128690881799002
TRE,TRE_utilitypv_class1_moderate_1,1,1,45,121.26041938637617,0.0,39.05878000852112,0.0,-49.6721094469787,0.0,0.0,0.0,0.0,107.92419438102951,0.0,0.0,0.0,0.0,0.0,107.92419438102951,110.64708994791857,-2.722895566889065
TRE,TRE_utilitypv_class1_moderate_2,1,2,46,1.0052646693105224e9,0.0,3.380267483492398e8,0.0,-4.277893648488701e8,0.0,0.0,0.0,0.0,9.155019954851645e8,0.0,0.0,0.0,0.0,0.0,9.155019954851645e8,9.155020528108923e8,-57.32572782039642
TRE,TRE_utilitypv_class1_moderate_3,1,3,47,13.406682300486068,0.0,3.988871693728119,0.0,-4.507447771173462,0.0,0.0,0.0,0.0,10.200719621231993,0.0,0.0,0.0,0.0,0.0,10.200719621231993,12.888106223040724,-2.687386601808731
TRE,TRE_utilitypv_class1_moderate_4,1,4,48,12.796707597534633,0.0,3.5854081060703757,0.0,-4.196047377374543,0.0,0.0,0.0,0.0,9.525682338137155,0.0,0.0,0.0,0.0,0.0,9.525682338137155,12.186068326230465,-2.66038598809331
TRE,TRE_utilitypv_class1_moderate_5,1,5,49,13.34987288928687,0.0,4.1813002164762105,0.0,-4.580415850064516,0.0,0.0,0.0,0.0,10.322975265999329,0.0,0.0,0.0,0.0,0.0,10.322975265999329,12.950757255698566,-2.627781989699237
TRE,TRE_utilitypv_class1_moderate_6,1,6,50,8.445578370951031,0.0,2.147930266047116,0.0,-2.399966133656392,0.0,0.0,0.0,0.0,5.541036070992564,0.0,0.0,0.0,0.0,0.0,5.541036070992564,8.193542503341755,-2.652506432349191
TRE,TRE_utilitypv_class1_moderate_7,1,7,51,6.480405904899114,0.0,1.6593998511270265,0.0,-1.6514272278033468,0.0,0.0,0.0,0.0,3.824638608259013,0.0,0.0,0.0,0.0,0.0,3.824638608259013,6.4883785282227935,-2.6637399199637803
TRE,TRE_utilitypv_class1_moderate_8,1,8,52,7.103376125963291,0.0,1.817868287698849,0.0,-1.8789525930860769,0.0,0.0,0.0,0.0,4.362513729578221,0.0,0.0,0.0,0.0,0.0,4.362513729578221,7.042291820576064,-2.679778090997843
TRE,TRE_offshorewind_class3_moderate_fixed_0_1,1,1,53,4.138346730253404,0.0,2.7900728742935677,0.0,0.0,0.0,0.0,0.0,0.0,1.6108085019759208,0.0,0.0,0.0,0.0,0.0,1.6108085019759208,6.9284196045469715,-5.317611102571051
TRE,TRE_offshorewind_class3_moderate_fixed_0_2,1,2,54,4.7380615577752945,0.0,2.897402357266643,0.0,0.0,0.0,0.0,0.0,0.0,1.7433225823474185,0.0,0.0,0.0,0.0,0.0,1.7433225823474185,7.635463915041937,-5.892141332694519
TRE,TRE_offshorewind_class12_moderate_floating_0_1,1,1,55,4.773991092489127,0.0,1.8185079751451076,0.0,0.0,0.0,0.0,0.0,0.0,1.283650710338965,0.0,0.0,0.0,0.0,0.0,1.283650710338965,6.592499067634234,-5.308848357295269
TRE,TRE_offshorewind_class12_moderate_floating_0_2,1,2,56,5.066285516944862,0.0,1.854197897432651,0.0,0.0,0.0,0.0,0.0,0.0,1.415887232683925,0.0,0.0,0.0,0.0,0.0,1.415887232683925,6.920483414377513,-5.5045961816935876
TRE_WEST,TRE_WEST_naturalgas_ccccsavgcf_conservative_0,2,0,57,28.898894152706635,0.0,15.745258337112062,0.0,7.940523492712963,33.63870435629628,0.0,3.3763184008231155,0.0,36.618082427002605,0.0,0.0,0.0,0.0,0.0,36.618082427002605,89.59969873965105,-52.98161631264844
TRE_WEST,TRE_WEST_naturalgas_ccavgcf_moderate_0,2,0,58,38.61532819337014,0.0,23.930529622733918,0.0,8.380234543549854,94.60446776213418,0.0,6.187166259605246,0.0,137.01732284862257,0.0,0.0,0.0,0.0,0.0,137.01732284862257,171.71772638139333,-34.700403532770764
TRE_WEST,TRE_WEST_naturalgas_ctavgcf_moderate_0,2,0,59,16.578352196100546,0.0,9.016507720866866,0.0,4.722980150880752,32.59423061725851,0.0,5.321998570679497,0.0,33.861644940355205,0.0,0.0,0.0,0.0,0.0,33.861644940355205,68.23406925578617,-34.37242431543096
TRE_WEST,TRE_WEST_battery_moderate_0,2,0,60,15.393601230858222,23.858569571821516,8.944949622761996,13.865211053284344,0.2918454275444663,0.0,0.3448079247902373,0.0,21.271898479047874,64.4741287511585,0.0,0.0,0.0,0.0,0.0,64.4741287511585,83.97088331010866,-19.49675455895016
