Segment,1,2,3,4,1,2,3,4,Total
Zone,1,1,1,1,2,2,2,2,0
AnnualSum,0.00016823166168536952,0.00047941430737182466,4028.147340283898,2450.81225755084,0.00039950239441744785,0.0004943443875537372,0.0007839928593380135,118.78453042918868,6597.746453749536
t1,1.9132198985393025e-8,5.7087538690617136e-8,9.428179918234893e-8,2.405577392873284e-7,4.92856701008823e-8,5.565542149668302e-8,8.619719745492397e-8,1.7393406294174652e-7,7.761316281399233e-7
t2,1.914246694974028e-8,5.7132851875137376e-8,9.42785176964949e-8,2.3974014205333485e-7,4.940386069605135e-8,5.56093706168674e-8,8.597006980297938e-8,1.733507883267939e-7,7.746280680173995e-7
t3,1.9147422063686304e-8,5.715029130791375e-8,9.427200996359043e-8,2.3927577805247e-7,4.9429775626763886e-8,5.559131602009066e-8,8.587793045996211e-8,1.7309399732812091e-7,7.73838520822598e-7
t4,1.9150519467210138e-8,5.715679716082969e-8,9.426649705473181e-8,2.389943788294251e-7,4.942489749886314e-8,5.558337501378723e-8,8.583328601178616e-8,1.7295657602200144e-7,7.733663270586347e-7
t5,1.9150457118515036e-8,5.714823102759957e-8,9.426478100970165e-8,2.390300164454598e-7,4.938996261066664e-8,5.558680705404171e-8,8.584009542197059e-8,1.7294786812848946e-7,7.733582188164445e-7
t6,1.914114646448514e-8,5.713857551540104e-8,9.430069108092621e-8,2.4062484818444746e-7,4.929788606102455e-8,5.566025383582693e-8,8.623076469021088e-8,1.7400102730463737e-7,7.763951931369596e-7
t7,1.9128019291999025e-8,5.7040623683911134e-8,9.430039327079134e-8,2.416723140508082e-7,4.893384454650349e-8,5.574024544070021e-8,8.661293410604254e-8,1.7491410752158636e-7,7.783424819123423e-7
t8,1.912644765026528e-8,5.701707540977641e-8,9.429408805432615e-8,2.4171125118396195e-7,4.891693170463188e-8,5.574808527810444e-8,8.665611599118849e-8,1.750241291654432e-7,7.784941244376978e-7
t9,1.9418559973898675e-8,5.799399433046857e-8,9.709903657165371e-8,2.642301594395782e-7,4.967247839697027e-8,5.680927020153365e-8,8.973173587069045e-8,1.9130373256011339e-7,8.26258967344907e-7
