Region,Resource,Zone,Cluster,AnnualSum
TRE,TRE_batteries_1,1,1,7.46190396030865e7
TRE,TRE_biomass_1,1,1,7.446631576790149e6
TRE,TRE_conventional_hydroelectric_1,1,1,1.61057306283443e7
TRE,TRE_conventional_steam_coal_1,1,1,1.2516912759246724e9
TRE,TRE_conventional_steam_coal_2,1,2,353.93672051404405
TRE,TRE_natural_gas_fired_combined_cycle_1,1,1,2.336869082111223e8
TRE,TRE_natural_gas_fired_combined_cycle_2,1,2,3.9486480877018843e9
TRE,TRE_natural_gas_fired_combustion_turbine_1,1,1,1.3922552056344235e8
TRE,TRE_natural_gas_fired_combustion_turbine_2,1,2,3.0464196653102215e7
TRE,TRE_natural_gas_internal_combustion_engine_1,1,1,6.3783197058411434e7
TRE,TRE_natural_gas_steam_turbine_1,1,1,26.225327501593743
TRE,TRE_nuclear_1,1,1,1.1191011862434745e9
TRE,TRE_onshore_wind_turbine_1,1,1,4.1296852356906338e6
TRE,TRE_petroleum_liquids_1,1,1,40.24105779839039
TRE,TRE_small_hydroelectric_1,1,1,199531.70559869352
TRE,TRE_solar_photovoltaic_1,1,1,4.2211110001531094e8
TRE_WEST,TRE_WEST_batteries_1,2,1,6.41172531713689e7
TRE_WEST,TRE_WEST_natural_gas_fired_combined_cycle_1,2,1,5.411960894923334e8
TRE_WEST,TRE_WEST_natural_gas_fired_combined_cycle_2,2,2,1.2685726222648763e6
TRE_WEST,TRE_WEST_natural_gas_fired_combustion_turbine_1,2,1,1.4804846368831767e7
TRE_WEST,TRE_WEST_natural_gas_fired_combustion_turbine_2,2,2,5.711727494532881e6
TRE_WEST,TRE_WEST_natural_gas_internal_combustion_engine_1,2,1,657867.895551481
TRE_WEST,TRE_WEST_natural_gas_steam_turbine_1,2,1,19.753257418499924
TRE_WEST,TRE_WEST_onshore_wind_turbine_1,2,1,1.0952774256843016e9
TRE_WEST,TRE_WEST_petroleum_liquids_1,2,1,31.71682700100352
TRE_WEST,TRE_WEST_solar_photovoltaic_1,2,1,3.48445450073537e8
TRE,TRE_distributed_generation_1,1,1,4.8727902277707547e8
TRE_WEST,TRE_WEST_distributed_generation_1,2,1,2.3701776058793835e7
TRE,TRE_naturalgas_ccccsavgcf_conservative_0,1,0,15.48934365504929
TRE,TRE_naturalgas_ccavgcf_moderate_0,1,0,87.87851179389891
TRE,TRE_naturalgas_ctavgcf_moderate_0,1,0,13.484839582657319
TRE,TRE_battery_moderate_0,1,0,43.28577361663744
TRE,TRE_nuclear_nuclear_moderate_0,1,0,6.825857933434316
TRE,TRE_geothermal_hydroflash_moderate_0,1,0,0.0
TRE,TRE_landbasedwind_class3_moderate_0,1,0,3.0027087373225636e9
TRE,TRE_landbasedwind_class3_moderate_1,1,1,12.991626632497265
TRE,TRE_landbasedwind_class3_moderate_2,1,2,18.278036008721045
TRE,TRE_landbasedwind_class3_moderate_3,1,3,5.98414048276382
TRE,TRE_landbasedwind_class3_moderate_4,1,4,4.082803380804067
TRE,TRE_landbasedwind_class3_moderate_5,1,5,7.222241997518018
TRE,TRE_landbasedwind_class3_moderate_6,1,6,1.4064597077307774
TRE,TRE_landbasedwind_class3_moderate_7,1,7,1.3955968914273846
TRE,TRE_landbasedwind_class3_moderate_8,1,8,1.8858203832691143
TRE,TRE_utilitypv_class1_moderate_0,1,0,40.93911881519856
TRE,TRE_utilitypv_class1_moderate_1,1,1,35.91525356110318
TRE,TRE_utilitypv_class1_moderate_2,1,2,9.157646806972878e8
TRE,TRE_utilitypv_class1_moderate_3,1,3,7.621669041169141
TRE,TRE_utilitypv_class1_moderate_4,1,4,4.880215765749902
TRE,TRE_utilitypv_class1_moderate_5,1,5,5.498296076728369
TRE,TRE_utilitypv_class1_moderate_6,1,6,1.9121950817004716
TRE,TRE_utilitypv_class1_moderate_7,1,7,1.6678157124880784
TRE,TRE_utilitypv_class1_moderate_8,1,8,2.644435396631984
TRE,TRE_offshorewind_class3_moderate_fixed_0_1,1,1,1.289673089185571
TRE,TRE_offshorewind_class3_moderate_fixed_0_2,1,2,1.3420079244840177
TRE,TRE_offshorewind_class12_moderate_floating_0_1,1,1,1.0236038949423698
TRE,TRE_offshorewind_class12_moderate_floating_0_2,1,2,1.0815478686624707
TRE_WEST,TRE_WEST_naturalgas_ccccsavgcf_conservative_0,2,0,12.238609498432153
TRE_WEST,TRE_WEST_naturalgas_ccavgcf_moderate_0,2,0,46.127700095277596
TRE_WEST,TRE_WEST_naturalgas_ctavgcf_moderate_0,2,0,11.226545436448134
TRE_WEST,TRE_WEST_battery_moderate_0,2,0,29.73165042704616
TRE_WEST,TRE_WEST_nuclear_nuclear_moderate_0,2,0,5.828163299224485
TRE_WEST,TRE_WEST_geothermal_hydroflash_moderate_0,2,0,0.0
TRE_WEST,TRE_WEST_landbasedwind_class3_moderate_0,2,0,12.001863434454947
TRE_WEST,TRE_WEST_landbasedwind_class3_moderate_1,2,1,6.443085063524987e7
TRE_WEST,TRE_WEST_landbasedwind_class3_moderate_2,2,2,7.463058701569147
TRE_WEST,TRE_WEST_landbasedwind_class3_moderate_3,2,3,3.20108286718698
TRE_WEST,TRE_WEST_landbasedwind_class3_moderate_4,2,4,4.784604274335803
TRE_WEST,TRE_WEST_landbasedwind_class3_moderate_5,2,5,5.612353008502868
TRE_WEST,TRE_WEST_landbasedwind_class3_moderate_6,2,6,1.2086444128984035
TRE_WEST,TRE_WEST_landbasedwind_class3_moderate_7,2,7,2.08187196154534
TRE_WEST,TRE_WEST_landbasedwind_class3_moderate_8,2,8,1.2180391387806029
TRE_WEST,TRE_WEST_utilitypv_class1_moderate_0,2,0,11.995368825779968
TRE_WEST,TRE_WEST_utilitypv_class1_moderate_1,2,1,2.3431234341087922e8
TRE_WEST,TRE_WEST_utilitypv_class1_moderate_2,2,2,15.718399201854671
TRE_WEST,TRE_WEST_utilitypv_class1_moderate_3,2,3,2.9028884401877266
TRE_WEST,TRE_WEST_utilitypv_class1_moderate_4,2,4,3.04997437117792
TRE_WEST,TRE_WEST_utilitypv_class1_moderate_5,2,5,4.202392983975293
TRE_WEST,TRE_WEST_utilitypv_class1_moderate_6,2,6,1.9171647245344383
TRE_WEST,TRE_WEST_utilitypv_class1_moderate_7,2,7,1.7827078062627988
TRE_WEST,TRE_WEST_utilitypv_class1_moderate_8,2,8,2.514698864030526
TRE,TRE_trans_light_duty_1,1,1,6.771475479978408e8
TRE_WEST,TRE_WEST_trans_light_duty_1,2,1,3.232013282420681e7
TRE,TRE_comm_water_heat_1,1,1,1.3601673821341146e7
TRE_WEST,TRE_WEST_comm_water_heat_1,2,1,659753.9232200853
TRE,TRE_res_water_heat_1,1,1,4.811973233712516e7
TRE_WEST,TRE_WEST_res_water_heat_1,2,1,2.3569747580073243e6
TRE,TRE_comm_space_heat_cool_1,1,1,1.0117311264956479e8
TRE_WEST,TRE_WEST_comm_space_heat_cool_1,2,1,4.828335186076954e6
TRE,TRE_res_space_heat_cool_1,1,1,2.930277212786309e8
TRE_WEST,TRE_WEST_res_space_heat_cool_1,2,1,1.4069108539819336e7
