Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
TRE_landbasedwind_class3_moderate_5,1,0.0,0.0,0.00012209473007747477,0.00012209473007747477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_landbasedwind_class3_moderate_6,1,0.0,0.0,2.452351574523752e-5,2.452351574523752e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_landbasedwind_class3_moderate_7,1,0.0,0.0,4.1515108211632293e-5,4.1515108211632293e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_landbasedwind_class3_moderate_8,1,0.0,0.0,2.7399242847502083e-5,2.7399242847502083e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_utilitypv_class1_moderate_0,1,0.0,0.0,0.0009507718247355623,0.0009507718247355623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_utilitypv_class1_moderate_1,1,0.0,0.0,0.0007936680833420769,0.0007936680833420769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_utilitypv_class1_moderate_2,1,0.0,0.0,20652.791224363318,20652.791224363318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_utilitypv_class1_moderate_3,1,0.0,0.0,0.00018259690341816033,0.00018259690341816033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_utilitypv_class1_moderate_4,1,0.0,0.0,0.00011429772575185978,0.00011429772575185978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_utilitypv_class1_moderate_5,1,0.0,0.0,0.00013688339790754044,0.00013688339790754044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_utilitypv_class1_moderate_6,1,0.0,0.0,4.510322304418106e-5,4.510322304418106e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_utilitypv_class1_moderate_7,1,0.0,0.0,4.410884825798668e-5,4.410884825798668e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_utilitypv_class1_moderate_8,1,0.0,0.0,6.9131957059551e-5,6.9131957059551e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_offshorewind_class3_moderate_fixed_0_1,1,0.0,0.0,2.5220134021109453e-5,2.5220134021109453e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_offshorewind_class3_moderate_fixed_0_2,1,0.0,0.0,2.4299364417553515e-5,2.4299364417553515e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_offshorewind_class12_moderate_floating_0_1,1,0.0,0.0,1.8756730451846715e-5,1.8756730451846715e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_offshorewind_class12_moderate_floating_0_2,1,0.0,0.0,1.814947648662244e-5,1.814947648662244e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_naturalgas_ccccsavgcf_conservative_0,2,0.0,0.0,7.76215184661159e-5,7.76215184661159e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_naturalgas_ccavgcf_moderate_0,2,0.0,0.0,0.0002860229634906287,0.0002860229634906287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_naturalgas_ctavgcf_moderate_0,2,0.0,0.0,0.00013939708648524866,0.00013939708648524866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_battery_moderate_0,2,0.0,0.0,0.0006086592083703146,0.0006086592083703146,0.0,0.0,0.0013231075122167874,0.0013231075122167874,0.0,0.0,0.0,0.0
TRE_WEST_nuclear_nuclear_moderate_0,2,0.0,0.0,3.948643360916445e-5,3.948643360916445e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_geothermal_hydroflash_moderate_0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_landbasedwind_class3_moderate_0,2,0.0,0.0,0.00021037730053775506,0.00021037730053775506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_landbasedwind_class3_moderate_1,2,0.0,0.0,977.2088531368942,977.2088531368942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_landbasedwind_class3_moderate_2,2,0.0,0.0,0.0001496488366541391,0.0001496488366541391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_landbasedwind_class3_moderate_3,2,0.0,0.0,7.838575371982393e-5,7.838575371982393e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_landbasedwind_class3_moderate_4,2,0.0,0.0,0.00010307339105765243,0.00010307339105765243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_landbasedwind_class3_moderate_5,2,0.0,0.0,0.00010760820282092358,0.00010760820282092358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_landbasedwind_class3_moderate_6,2,0.0,0.0,2.020359596148516e-5,2.020359596148516e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_landbasedwind_class3_moderate_7,2,0.0,0.0,5.924514854811613e-5,5.924514854811613e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
