Resource,Zone,AnnualSum,Capacity,CapacityFactor
TRE_batteries_1,1,1.2499347020946383e6,2267.8,0.0
TRE_biomass_1,1,296963.99999999214,33.9,0.9999999999999736
TRE_conventional_hydroelectric_1,1,357142.0485633037,483.0,0.08440919305787263
TRE_conventional_steam_coal_1,1,3.729425035654084e7,6063.599999624899,0.7021133511198325
TRE_conventional_steam_coal_2,1,10.532146460528368,0.0018074797962981393,0.0
TRE_natural_gas_fired_combined_cycle_1,1,2.6075388506281483e6,6615.799953030412,0.04499293425860985
TRE_natural_gas_fired_combined_cycle_2,1,9.750933924440844e7,30909.299979267296,0.36012472354788516
TRE_natural_gas_fired_combustion_turbine_1,1,383166.7336504016,6658.0999452464075,0.0065695160884718705
TRE_natural_gas_fired_combustion_turbine_2,1,25958.488784041147,1648.2999015515697,0.0017977904406886113
TRE_natural_gas_internal_combustion_engine_1,1,981898.9462371534,845.2997781433571,0.13260256739866136
TRE_natural_gas_steam_turbine_1,1,0.6232523902128616,0.00043629706851788796,0.0
TRE_nuclear_1,1,3.744763776710966e7,5120.0,0.8349305652270098
TRE_onshore_wind_turbine_1,1,175347.86226852008,96.04105733184952,0.20842002171251808
TRE_petroleum_liquids_1,1,0.09834517751479073,0.0021404414405594707,0.0
TRE_small_hydroelectric_1,1,9254.616000000166,11.2,0.09432705479452225
TRE_solar_photovoltaic_1,1,1.7816658283946566e7,11155.599997011452,0.18231785842554482
TRE_WEST_batteries_1,2,1.1167752556446453e6,1937.5,0.0
TRE_WEST_natural_gas_fired_combined_cycle_1,2,1.5414022857103925e7,3197.199994516914,0.5503539513862028
TRE_WEST_natural_gas_fired_combined_cycle_2,2,7039.823306861313,54.975061741142554,0.01461813360703296
TRE_WEST_natural_gas_fired_combustion_turbine_1,2,11020.261193763678,871.999945717298,0.001442684360702297
TRE_WEST_natural_gas_fired_combustion_turbine_2,2,4368.86558334225,335.9999793368856,0.0014843124361328499
TRE_WEST_natural_gas_internal_combustion_engine_1,2,11009.070354662254,9.099603673073121,0.13810966239006126
TRE_WEST_natural_gas_steam_turbine_1,2,0.49294800297731767,0.0003677359449056894,0.0
TRE_WEST_onshore_wind_turbine_1,2,5.805662598241869e7,25471.496849542254,0.2601915685835829
TRE_WEST_petroleum_liquids_1,2,0.09353730191519684,0.0017730328803224893,0.0
TRE_WEST_solar_photovoltaic_1,2,1.630678850213725e7,9661.59999486218,0.19267052431932238
TRE_distributed_generation_1,1,1.6898698641000044e7,8153.0,0.2366092465753431
TRE_WEST_distributed_generation_1,2,918199.0120000045,443.0,0.2366077625570788
TRE_naturalgas_ccccsavgcf_conservative_0,1,0.5135214590005386,8.703357980868764e-5,0.0
TRE_naturalgas_ccavgcf_moderate_0,1,2.5109375446160525,0.0004634350208237714,0.0
TRE_naturalgas_ctavgcf_moderate_0,1,0.3519723834618105,0.00014449207105209557,0.0
TRE_battery_moderate_0,1,1.285190703737118,0.0008400002264378784,0.0
TRE_nuclear_nuclear_moderate_0,1,0.24022561647419105,4.14512962003834e-5,0.0
TRE_geothermal_hydroflash_moderate_0,1,0.0,0.0,0.0
TRE_landbasedwind_class3_moderate_0,1,1.8291356594530106e8,42800.57453106162,0.48785663011437275
TRE_landbasedwind_class3_moderate_1,1,0.6939825529068409,0.0002275345767972545,0.0
TRE_landbasedwind_class3_moderate_2,1,1.0078538315984658,0.0002899982604629981,0.0
TRE_landbasedwind_class3_moderate_3,1,0.32015336962474117,0.00012456885563559848,0.0
TRE_landbasedwind_class3_moderate_4,1,0.2221865174379777,9.098659987592109e-5,0.0
TRE_landbasedwind_class3_moderate_5,1,0.3744038543927746,0.00012209473007747477,0.0
TRE_landbasedwind_class3_moderate_6,1,0.07016236020332786,2.452351574523752e-5,0.0
TRE_landbasedwind_class3_moderate_7,1,0.07487036291690707,4.1515108211632293e-5,0.0
TRE_landbasedwind_class3_moderate_8,1,0.09151292883592675,2.7399242847502083e-5,0.0
TRE_utilitypv_class1_moderate_0,1,2.031858118150093,0.0009507718247355623,0.0
TRE_utilitypv_class1_moderate_1,1,1.7789592938999006,0.0007936680833420769,0.0
TRE_utilitypv_class1_moderate_2,1,4.627126082211078e7,20652.791224363318,0.2557575555963222
TRE_utilitypv_class1_moderate_3,1,0.36070473110829937,0.00018259690341816033,0.0
TRE_utilitypv_class1_moderate_4,1,0.22390819216679678,0.00011429772575185978,0.0
TRE_utilitypv_class1_moderate_5,1,0.256588013361772,0.00013688339790754044,0.0
TRE_utilitypv_class1_moderate_6,1,0.08913558331948483,4.510322304418106e-5,0.0
TRE_utilitypv_class1_moderate_7,1,0.07606804839902075,4.410884825798668e-5,0.0
TRE_utilitypv_class1_moderate_8,1,0.11824622892989746,6.9131957059551e-5,0.0
TRE_offshorewind_class3_moderate_fixed_0_1,1,0.04753390484269606,2.5220134021109453e-5,0.0
TRE_offshorewind_class3_moderate_fixed_0_2,1,0.04909912475348395,2.4299364417553515e-5,0.0
TRE_offshorewind_class12_moderate_floating_0_1,1,0.036842713789375994,1.8756730451846715e-5,0.0
TRE_offshorewind_class12_moderate_floating_0_2,1,0.036983962250854346,1.814947648662244e-5,0.0
TRE_WEST_naturalgas_ccccsavgcf_conservative_0,2,0.44180363996297467,7.76215184661159e-5,0.0
TRE_WEST_naturalgas_ccavgcf_moderate_0,2,1.4094795506870397,0.0002860229634906287,0.0
TRE_WEST_naturalgas_ctavgcf_moderate_0,2,0.3133911707416015,0.00013939708648524866,0.0
TRE_WEST_battery_moderate_0,2,0.9633611538782538,0.0006086592083703146,0.0
TRE_WEST_nuclear_nuclear_moderate_0,2,0.22395364620220232,3.948643360916445e-5,0.0
TRE_WEST_geothermal_hydroflash_moderate_0,2,0.0,0.0,0.0
TRE_WEST_landbasedwind_class3_moderate_0,2,0.7556693401415602,0.00021037730053775506,0.0
TRE_WEST_landbasedwind_class3_moderate_1,2,4.311949744128649e6,977.2088531368942,0.5037118773235303
TRE_WEST_landbasedwind_class3_moderate_2,2,0.4540305776765816,0.0001496488366541391,0.0
TRE_WEST_landbasedwind_class3_moderate_3,2,0.1737004760450757,7.838575371982393e-5,0.0
TRE_WEST_landbasedwind_class3_moderate_4,2,0.2635347047732865,0.00010307339105765243,0.0
TRE_WEST_landbasedwind_class3_moderate_5,2,0.3129210241578446,0.00010760820282092358,0.0
TRE_WEST_landbasedwind_class3_moderate_6,2,0.06264966744221181,2.020359596148516e-5,0.0
TRE_WEST_landbasedwind_class3_moderate_7,2,0.10915452620519918,5.924514854811613e-5,0.0
TRE_WEST_landbasedwind_class3_moderate_8,2,0.06200104956950553,2.3621389903412735e-5,0.0
TRE_WEST_utilitypv_class1_moderate_0,2,0.6683711478062501,0.0002809124923040992,0.0
TRE_WEST_utilitypv_class1_moderate_1,2,1.37591706894212e7,5529.07144677197,0.28407691972715854
TRE_WEST_utilitypv_class1_moderate_2,2,0.8919312579704216,0.00038567307692793413,0.0
TRE_WEST_utilitypv_class1_moderate_3,2,0.15965346934350994,7.535786169514578e-5,0.0
TRE_WEST_utilitypv_class1_moderate_4,2,0.16478511896139786,7.36525798096841e-5,0.0
TRE_WEST_utilitypv_class1_moderate_5,2,0.2249324549769323,0.00010469710285908096,0.0
TRE_WEST_utilitypv_class1_moderate_6,2,0.1023990943805528,4.7670072627187876e-5,0.0
TRE_WEST_utilitypv_class1_moderate_7,2,0.09500647133656422,4.896238167114278e-5,0.0
TRE_WEST_utilitypv_class1_moderate_8,2,0.13423143651337235,6.643224423923653e-5,0.0
TRE_trans_light_duty_1,1,2.3874423218527734e7,12178.9,0.0
TRE_WEST_trans_light_duty_1,2,1.2743062666597231e6,661.2,0.0
TRE_comm_water_heat_1,1,546153.2071004467,151.8,0.0
TRE_WEST_comm_water_heat_1,2,29259.383927302482,8.2,0.0
TRE_res_water_heat_1,1,1.759759914150378e6,661.8,0.0
TRE_WEST_res_water_heat_1,2,93927.53014883911,35.9,0.0
TRE_comm_space_heat_cool_1,1,3.2072896118466808e6,3437.3,0.0
TRE_WEST_comm_space_heat_cool_1,2,170415.16886639927,186.6,0.0
TRE_res_space_heat_cool_1,1,8.537819543416353e6,6078.6,0.0
TRE_WEST_res_space_heat_cool_1,2,450328.65813656896,330.0,0.0
