Resource,RE_DAC_1,RE_DAC_2,RE_DAC_1,RE_DAC_2,RE_DAC_1,RE_DAC_2
Zone,1,2,1,2,1,2
MWelec,Total_Consumption,Total_Consumption,Heat,Heat,Electricity,Electricity
x1,196.48466152046166,0.0,160.99913736626456,0.0,35.48552415419708,0.0
x2,196.48466151693418,0.0,160.99913736337416,0.0,35.485524153560014,0.0
x3,196.48466151393498,0.0,160.99913736091662,0.0,35.48552415301835,0.0
x4,196.4846615107041,0.0,160.99913735826922,0.0,35.48552415243485,0.0
x5,196.484661508642,0.0,160.99913735657955,0.0,35.48552415206243,0.0
x6,196.48466150659024,0.0,160.99913735489835,0.0,35.48552415169188,0.0
x7,196.48466150521688,0.0,160.99913735377302,0.0,35.48552415144385,0.0
x8,196.48466148687572,0.0,160.9991373387443,0.0,35.4855241481314,0.0
x9,18.287736065069293,0.0,14.984934233919654,0.0,3.302801831149638,0.0
x10,196.48466150809435,0.0,160.99913735613083,0.0,35.485524151963524,0.0
x11,196.48466151258978,0.0,160.99913735981434,0.0,35.485524152775405,0.0
x12,196.4846615149867,0.0,160.9991373617784,0.0,35.485524153208296,0.0
x13,196.48466151591168,0.0,160.99913736253635,0.0,35.48552415337535,0.0
x14,196.48466151732828,0.0,160.9991373636971,0.0,35.48552415363119,0.0
x15,196.48466151978909,0.0,160.99913736571347,0.0,35.48552415407562,0.0
x16,196.48466152206012,0.0,160.99913736757435,0.0,35.48552415448577,0.0
x17,196.4846615243682,0.0,160.9991373694656,0.0,35.48552415490261,0.0
x18,196.48466035520366,0.0,160.9991364114545,0.0,35.48552394374915,0.0
x19,196.48465391894754,0.0,160.99913113759914,0.0,35.48552278134838,0.0
x20,196.48465879295148,0.0,160.9991351313482,0.0,35.485523661603274,0.0
x21,196.48465879743057,0.0,160.99913513501838,0.0,35.485523662412206,0.0
x22,196.48465880166975,0.0,160.99913513849194,0.0,35.485523663177815,0.0
x23,196.48465880470306,0.0,160.99913514097742,0.0,35.48552366372563,0.0
x24,196.48465880883805,0.0,160.99913514436562,0.0,35.48552366447242,0.0
x25,196.4846588123351,0.0,160.99913514723113,0.0,35.485523665104,0.0
x26,196.48465881466208,0.0,160.99913514913783,0.0,35.485523665524255,0.0
x27,196.4846588174628,0.0,160.9991351514327,0.0,35.48552366603006,0.0
x28,196.48465881971563,0.0,160.99913515327867,0.0,35.48552366643693,0.0
x29,196.48465882065503,0.0,160.99913515404842,0.0,35.48552366660659,0.0
x30,196.48465882024325,0.0,160.99913515371102,0.0,35.485523666532224,0.0
x31,196.48465881725699,0.0,160.99913515126408,0.0,35.48552366599289,0.0
x32,196.4846587976279,0.0,160.99913513518004,0.0,35.48552366244785,0.0
x33,196.48465903033912,0.0,160.99913532586314,0.0,35.48552370447596,0.0
x34,196.48465944457044,0.0,160.99913566528346,0.0,35.485523779286964,0.0
x35,196.48465944428645,0.0,160.99913566505074,0.0,35.48552377923568,0.0
x36,196.48465944719428,0.0,160.99913566743342,0.0,35.48552377976083,0.0
x37,196.484659447227,0.0,160.99913566746025,0.0,35.485523779766744,0.0
x38,196.48465944741667,0.0,160.9991356676157,0.0,35.48552377980101,0.0
x39,196.4846594474651,0.0,160.99913566765534,0.0,35.485523779809746,0.0
x40,196.4846594406107,0.0,160.99913566203887,0.0,35.48552377857183,0.0
x41,196.48465884809545,0.0,160.99913517653306,0.0,35.48552367156238,0.0
x42,196.48465884695457,0.0,160.99913517559824,0.0,35.48552367135634,0.0
x43,196.48464985125253,0.0,160.999127804538,0.0,35.4855220467145,0.0
x44,196.48464987461492,0.0,160.9991278236811,0.0,35.485522050933795,0.0
x45,196.48464987489282,0.0,160.99912782390885,0.0,35.48552205098399,0.0
x46,196.4846498702855,0.0,160.9991278201336,0.0,35.48552205015189,0.0
x47,196.48464986295608,0.0,160.99912781412786,0.0,35.48552204882818,0.0
x48,196.4846498594506,0.0,160.9991278112555,0.0,35.48552204819509,0.0
x49,196.4846498712285,0.0,160.9991278209063,0.0,35.4855220503222,0.0
x50,196.4846588406014,0.0,160.99913517039246,0.0,35.48552367020895,0.0
x51,196.48465883967276,0.0,160.99913516963153,0.0,35.48552367004123,0.0
x52,196.4846588358235,0.0,160.99913516647743,0.0,35.485523669346044,0.0
x53,196.48465883328177,0.0,160.99913516439474,0.0,35.485523668887005,0.0
x54,196.48465883018292,0.0,160.99913516185558,0.0,35.485523668327346,0.0
x55,196.48465882762093,0.0,160.99913515975626,0.0,35.48552366786465,0.0
x56,196.48465882512664,0.0,160.99913515771246,0.0,35.48552366741417,0.0
x57,196.4846587626873,0.0,160.99913510654977,0.0,35.4855236561375,0.0
x58,196.48466153631688,0.0,160.9991373792563,0.0,35.485524157060574,0.0
x59,196.48466153476718,0.0,160.9991373779865,0.0,35.48552415678069,0.0
x60,196.48466152775163,0.0,160.99913737223795,0.0,35.48552415551367,0.0
x61,196.48466152416827,0.0,160.99913736930176,0.0,35.48552415486651,0.0
x62,196.48466152234508,0.0,160.99913736780783,0.0,35.48552415453724,0.0
x63,196.48466152042525,0.0,160.99913736623472,0.0,35.48552415419051,0.0
x64,196.48466151785732,0.0,160.99913736413058,0.0,35.485524153726736,0.0
x65,196.48466151678065,0.0,160.99913736324837,0.0,35.48552415353229,0.0
x66,196.48466151844394,0.0,160.99913736461124,0.0,35.48552415383268,0.0
x67,196.48466107099927,0.0,160.99913699797597,0.0,35.48552407302327,0.0
x68,196.48466106657085,0.0,160.99913699434734,0.0,35.4855240722235,0.0
x69,196.48466151687168,0.0,160.99913736332294,0.0,35.48552415354873,0.0
x70,196.48466151500617,0.0,160.99913736179437,0.0,35.48552415321181,0.0
x71,196.48466151446274,0.0,160.99913736134906,0.0,35.48552415311367,0.0
x72,196.48466151459527,0.0,160.99913736145766,0.0,35.485524153137604,0.0
x73,196.4846615128956,0.0,160.99913736006496,0.0,35.48552415283064,0.0
x74,196.48466151290523,0.0,160.99913736007284,0.0,35.48552415283238,0.0
x75,196.48466151434886,0.0,160.99913736125575,0.0,35.4855241530931,0.0
x76,196.48466151589852,0.0,160.99913736252554,0.0,35.48552415337297,0.0
x77,196.4846615212209,0.0,160.99913736688666,0.0,35.4855241543342,0.0
x78,196.48465987892075,0.0,160.99913602118923,0.0,35.4855238577315,0.0
x79,196.48465737582197,0.0,160.9991339701551,0.0,35.48552340566684,0.0
x80,18.287732026095632,0.0,14.98493092439274,0.0,3.3028011017028898,0.0
x81,196.48465711942774,0.0,160.9991337600662,0.0,35.48552335936153,0.0
x82,196.4846603144999,0.0,160.99913637810192,0.0,35.48552393639797,0.0
x83,196.48465987738638,0.0,160.999136019932,0.0,35.485523857454396,0.0
x84,196.48466152178557,0.0,160.9991373673494,0.0,35.485524154436185,0.0
x85,196.4846615230482,0.0,160.99913736838397,0.0,35.48552415466422,0.0
x86,196.4846615247452,0.0,160.9991373697745,0.0,35.485524154970705,0.0
x87,196.48466152746926,0.0,160.99913737200657,0.0,35.48552415546267,0.0
x88,196.48466152965983,0.0,160.99913737380155,0.0,35.48552415585829,0.0
x89,196.48466034494064,0.0,160.99913640304501,0.0,35.48552394189563,0.0
x90,196.4846587713655,0.0,160.99913511366069,0.0,35.4855236577048,0.0
x91,196.4846587751727,0.0,160.9991351167803,0.0,35.485523658392395,0.0
x92,196.48465877701014,0.0,160.9991351182859,0.0,35.48552365872423,0.0
x93,196.48465877895293,0.0,160.99913511987782,0.0,35.485523659075106,0.0
x94,196.4846587796203,0.0,160.99913512042465,0.0,35.485523659195636,0.0
x95,196.48465877891115,0.0,160.9991351198436,0.0,35.48552365906757,0.0
x96,196.48465877764917,0.0,160.99913511880953,0.0,35.48552365883965,0.0
x97,196.4846587740314,0.0,160.99913511584512,0.0,35.48552365818627,0.0
x98,196.48465876780972,0.0,160.9991351107471,0.0,35.48552365706262,0.0
x99,196.48465875751077,0.0,160.99913510230814,0.0,35.48552365520261,0.0
x100,196.484658736561,0.0,160.99913508514194,0.0,35.48552365141904,0.0
x101,196.48465869097362,0.0,160.99913504778775,0.0,35.48552364318587,0.0
x102,196.484658407516,0.0,160.99913481552315,0.0,35.48552359199285,0.0
x103,18.28650412712547,0.0,14.9839247864406,0.0,3.3025793406848667,0.0
x104,18.286510997506234,0.0,14.983930416016815,0.0,3.30258058148942,0.0
x105,196.48465855212828,0.0,160.99913493401817,0.0,35.48552361811012,0.0
x106,196.48465870951796,0.0,160.99913506298293,0.0,35.48552364653501,0.0
x107,196.4846587438588,0.0,160.99913509112176,0.0,35.48552365273704,0.0
x108,196.48465876323496,0.0,160.99913510699855,0.0,35.48552365623641,0.0
x109,196.4846592565142,0.0,160.99913551119056,0.0,35.48552374532363,0.0
x110,196.48465926100235,0.0,160.99913551486813,0.0,35.4855237461342,0.0
x111,196.48465926399544,0.0,160.99913551732067,0.0,35.48552374667476,0.0
x112,196.48465926530477,0.0,160.99913551839353,0.0,35.48552374691123,0.0
x113,196.48465878375717,0.0,160.9991351238144,0.0,35.485523659942764,0.0
x114,196.4846587839235,0.0,160.99913512395068,0.0,35.4855236599728,0.0
x115,196.48465879590648,0.0,160.99913513376953,0.0,35.48552366213695,0.0
x116,196.48465878172868,0.0,160.99913512215227,0.0,35.485523659576415,0.0
x117,196.48465801030054,0.0,160.99913449004558,0.0,35.485523520254944,0.0
x118,196.48465877600827,0.0,160.99913511746496,0.0,35.48552365854329,0.0
x119,196.48465877299373,0.0,160.99913511499486,0.0,35.48552365799886,0.0
x120,196.48465876866635,0.0,160.999135111449,0.0,35.48552365721733,0.0
x121,196.48466034120187,0.0,160.99913639998147,0.0,35.4855239412204,0.0
x122,196.48466151525759,0.0,160.99913736200034,0.0,35.48552415325722,0.0
x123,196.48466152219345,0.0,160.99913736768357,0.0,35.48552415450985,0.0
x124,196.48466151930182,0.0,160.9991373653142,0.0,35.48552415398762,0.0
x125,196.48466151588656,0.0,160.99913736251574,0.0,35.48552415337081,0.0
x126,196.48466150706085,0.0,160.99913735528398,0.0,35.48552415177687,0.0
x127,196.48466149578584,0.0,160.99913734604525,0.0,35.485524149740584,0.0
x128,196.48466148928435,0.0,160.99913734071794,0.0,35.4855241485664,0.0
x129,196.48466150804458,0.0,160.99913735609005,0.0,35.485524151954536,0.0
x130,196.48466151059228,0.0,160.99913735817762,0.0,35.485524152414655,0.0
x131,196.48466150919518,0.0,160.99913735703285,0.0,35.485524152162334,0.0
x132,196.48466150714796,0.0,160.99913735535534,0.0,35.4855241517926,0.0
x133,196.48466150487133,0.0,160.99913735348989,0.0,35.48552415138144,0.0
x134,196.4846615037584,0.0,160.99913735257795,0.0,35.48552415118044,0.0
x135,196.48466150333877,0.0,160.9991373522341,0.0,35.485524151104656,0.0
x136,196.4846615024133,0.0,160.99913735147578,0.0,35.485524150937515,0.0
x137,196.48466150265162,0.0,160.99913735167107,0.0,35.48552415098056,0.0
x138,196.48466150373895,0.0,160.99913735256203,0.0,35.48552415117693,0.0
x139,196.48466150525758,0.0,160.9991373538064,0.0,35.4855241514512,0.0
x140,196.48466148888227,0.0,160.99913734038847,0.0,35.48552414849378,0.0
x141,196.48466149722518,0.0,160.99913734722463,0.0,35.48552415000053,0.0
x142,196.48466149908342,0.0,160.99913734874727,0.0,35.48552415033613,0.0
x143,196.4846615006198,0.0,160.99913735000618,0.0,35.48552415061361,0.0
x144,196.4846615029671,0.0,160.99913735192956,0.0,35.48552415103753,0.0
x145,196.4846615046555,0.0,160.99913735331305,0.0,35.48552415134246,0.0
x146,196.48466150631506,0.0,160.99913735467288,0.0,35.48552415164218,0.0
x147,196.48466150951603,0.0,160.99913735729575,0.0,35.485524152220286,0.0
x148,196.48466151243366,0.0,160.99913735968644,0.0,35.48552415274721,0.0
x149,196.4846615145725,0.0,160.999137361439,0.0,35.4855241531335,0.0
x150,196.48466028712556,0.0,160.99913635567145,0.0,35.48552393145411,0.0
x151,196.48466028721268,0.0,160.99913635574282,0.0,35.48552393146984,0.0
x152,196.4846601238168,0.0,160.9991362218566,0.0,35.48552390196023,0.0
x153,196.4846606017159,0.0,160.99913661344613,0.0,35.485523988269755,0.0
x154,196.48466060790065,0.0,160.99913661851392,0.0,35.485523989386735,0.0
x155,196.48466060344614,0.0,160.9991366148639,0.0,35.485523988582244,0.0
x156,196.48465894426838,0.0,160.99913525533697,0.0,35.48552368893141,0.0
x157,196.48465875028498,0.0,160.99913509638736,0.0,35.48552365389762,0.0
x158,196.48465874585025,0.0,160.99913509275356,0.0,35.4855236530967,0.0
x159,196.48465873679805,0.0,160.99913508533618,0.0,35.485523651461854,0.0
x160,196.4846587224987,0.0,160.99913507361933,0.0,35.48552364887936,0.0
x161,196.48465868139925,0.0,160.99913503994253,0.0,35.485523641456716,0.0
x162,196.48465843752047,0.0,160.99913484010875,0.0,35.48552359741172,0.0
x163,18.286613340755146,0.0,14.9840142758696,0.0,3.3025990648855443,0.0
x164,196.48465842680227,0.0,160.99913483132627,0.0,35.48552359547599,0.0
x165,196.48465875270986,0.0,160.9991350983743,0.0,35.48552365433556,0.0
x166,196.4846588004184,0.0,160.99913513746657,0.0,35.48552366295181,0.0
x167,196.4846588216611,0.0,160.9991351548728,0.0,35.48552366678829,0.0
x168,196.48465883590478,0.0,160.99913516654405,0.0,35.485523669360724,0.0
x169,196.4846588162538,0.0,160.99913515044207,0.0,35.48552366581172,0.0
x170,196.48465879890165,0.0,160.99913513622374,0.0,35.485523662677885,0.0
x171,196.48465880311298,0.0,160.9991351396745,0.0,35.48552366343846,0.0
x172,196.48465880712916,0.0,160.99913514296537,0.0,35.48552366416379,0.0
x173,196.48465881003133,0.0,160.9991351453434,0.0,35.48552366468793,0.0
x174,196.48465881264661,0.0,160.99913514748636,0.0,35.48552366516026,0.0
x175,196.48465881504808,0.0,160.9991351494541,0.0,35.485523665593966,0.0
x176,196.48465881633493,0.0,160.99913515050855,0.0,35.48552366582637,0.0
x177,196.48465881598528,0.0,160.99913515022206,0.0,35.485523665763225,0.0
x178,196.484658816383,0.0,160.99913515054791,0.0,35.485523665835046,0.0
x179,196.48465881648258,0.0,160.9991351506295,0.0,35.48552366585304,0.0
x180,196.48465881550618,0.0,160.99913514982947,0.0,35.4855236656767,0.0
x181,196.484658813305,0.0,160.99913514802583,0.0,35.48552366527916,0.0
x182,196.48465881163966,0.0,160.99913514666125,0.0,35.485523664978395,0.0
x183,196.4846588090692,0.0,160.99913514455503,0.0,35.48552366451416,0.0
x184,196.4846588047567,0.0,160.99913514102136,0.0,35.48552366373532,0.0
x185,196.48465879688627,0.0,160.99913513457236,0.0,35.4855236623139,0.0
x186,196.48465875178564,0.0,160.999135097617,0.0,35.485523654168645,0.0
x187,196.48465884455013,0.0,160.99913517362802,0.0,35.48552367092209,0.0
x188,196.48465884030358,0.0,160.99913517014843,0.0,35.48552367015516,0.0
x189,196.48465883667345,0.0,160.99913516717388,0.0,35.48552366949955,0.0
x190,196.48465883300022,0.0,160.99913516416404,0.0,35.48552366883616,0.0
x191,196.48465883053876,0.0,160.99913516214716,0.0,35.485523668391615,0.0
x192,196.4846588239132,0.0,160.99913515671818,0.0,35.485523667195025,0.0
x193,196.48465902140055,0.0,160.9991353185389,0.0,35.485523702861634,0.0
x194,196.48466108058045,0.0,160.99913700582678,0.0,35.485524074753656,0.0
x195,196.48466108400015,0.0,160.99913700862888,0.0,35.48552407537126,0.0
x196,196.4846610834613,0.0,160.99913700818735,0.0,35.48552407527394,0.0
x197,196.48466108254445,0.0,160.99913700743608,0.0,35.48552407510836,0.0
x198,196.4846610815949,0.0,160.99913700665803,0.0,35.48552407493687,0.0
x199,196.48466037320532,0.0,160.999136426205,0.0,35.48552394700029,0.0
