Line,1,Total
AnnualSum,-8.115313700826374e7,-8.115313700826374e7
t1,-14898.570467917503,-14898.570467917503
t2,-10056.258053215546,-10056.258053215546
t3,-4772.114515486515,-4772.114515486515
t4,-3755.264080969946,-3755.264080969946
t5,-5766.937364986108,-5766.937364986108
t6,-6389.190209325664,-6389.190209325664
t7,-6279.340895363335,-6279.340895363335
t8,-4269.775754192705,-4269.775754192705
t9,-4651.924756262604,-4651.924756262604
t10,-3589.280084778132,-3589.280084778132
t11,315.6133307728933,315.6133307728933
t12,-225.57632768146686,-225.57632768146686
t13,-1923.11663433361,-1923.11663433361
t14,-2405.358686272146,-2405.358686272146
t15,-2798.130942588765,-2798.130942588765
t16,-2835.0592364300473,-2835.0592364300473
t17,-6109.522878107918,-6109.522878107918
t18,-6215.293254591051,-6215.293254591051
t19,-5200.565698271832,-5200.565698271832
t20,-4180.281050808885,-4180.281050808885
t21,-4226.701505908416,-4226.701505908416
t22,-4983.487244703155,-4983.487244703155
t23,-5279.779278151816,-5279.779278151816
t24,-5323.361230258888,-5323.361230258888
t25,-4679.160872884728,-4679.160872884728
t26,-5172.508858232499,-5172.508858232499
t27,-4561.460639757729,-4561.460639757729
t28,-3848.9056582574926,-3848.9056582574926
t29,-3432.116366892952,-3432.116366892952
t30,-3206.107119343382,-3206.107119343382
t31,-3709.479750173793,-3709.479750173793
t32,-3579.473306969902,-3579.473306969902
t33,-5563.831133599782,-5563.831133599782
t34,-6429.325224108868,-6429.325224108868
t35,-8905.336197195003,-8905.336197195003
t36,-10372.981926467417,-10372.981926467417
t37,-10840.58630978786,-10840.58630978786
t38,-11478.162112924883,-11478.162112924883
t39,-11150.053251437694,-11150.053251437694
t40,-10554.943490493039,-10554.943490493039
t41,-10391.605814863957,-10391.605814863957
t42,-6144.665626753172,-6144.665626753172
t43,-3493.254763434258,-3493.254763434258
t44,-3754.659352181489,-3754.659352181489
t45,-4855.8283409951055,-4855.8283409951055
t46,-5378.656585209413,-5378.656585209413
t47,-7279.21020742655,-7279.21020742655
t48,-9050.030383967045,-9050.030383967045
t49,-10501.891828000422,-10501.891828000422
t50,-12332.459436657264,-12332.459436657264
t51,-13748.200964788492,-13748.200964788492
t52,-13943.293599160284,-13943.293599160284
t53,-14755.44494587669,-14755.44494587669
t54,-15134.114218064718,-15134.114218064718
t55,-15156.078208766608,-15156.078208766608
t56,-15171.435281713704,-15171.435281713704
t57,-16528.999409830714,-16528.999409830714
t58,-16133.329662023913,-16133.329662023913
t59,-15387.796310087546,-15387.796310087546
t60,-10869.899954616818,-10869.899954616818
t61,-6526.370167302557,-6526.370167302557
t62,-3865.5007155650737,-3865.5007155650737
t63,-3595.9055822157325,-3595.9055822157325
t64,-3267.599144205921,-3267.599144205921
t65,-4728.164602004883,-4728.164602004883
t66,-11262.9647856095,-11262.9647856095
t67,-10944.969368010044,-10944.969368010044
t68,-9874.514809748289,-9874.514809748289
t69,-12236.288156531633,-12236.288156531633
t70,-11793.009575565404,-11793.009575565404
t71,-12429.69594400148,-12429.69594400148
t72,-12783.613257532841,-12783.613257532841
t73,-11456.676821906789,-11456.676821906789
t74,-9479.555931492418,-9479.555931492418
t75,-9925.199365231923,-9925.199365231923
t76,-12131.59772332718,-12131.59772332718
t77,-11299.269703303245,-11299.269703303245
t78,-11823.60740424231,-11823.60740424231
t79,-13072.10517415266,-13072.10517415266
t80,-13860.65189249822,-13860.65189249822
t81,-13498.53822447334,-13498.53822447334
t82,-15397.90156354997,-15397.90156354997
t83,-14019.148282720096,-14019.148282720096
t84,-14791.396646560612,-14791.396646560612
t85,-12787.379203030858,-12787.379203030858
t86,-12168.927952836377,-12168.927952836377
t87,-12759.898228204858,-12759.898228204858
t88,-14076.661417574363,-14076.661417574363
t89,-14821.719295689925,-14821.719295689925
t90,-12286.226914801622,-12286.226914801622
t91,-6369.2724565154895,-6369.2724565154895
t92,-5458.922218230761,-5458.922218230761
t93,-6367.247950369794,-6367.247950369794
t94,-5786.982745891243,-5786.982745891243
t95,-5660.996856903559,-5660.996856903559
t96,-6021.531713440658,-6021.531713440658
t97,-6107.0423017353805,-6107.0423017353805
t98,-6606.552720268842,-6606.552720268842
t99,-6684.532757959862,-6684.532757959862
t100,-5992.10031334237,-5992.10031334237
t101,-5836.958422176442,-5836.958422176442
t102,-4703.677669779888,-4703.677669779888
t103,-5230.485227532674,-5230.485227532674
t104,-6033.587646791839,-6033.587646791839
t105,-7250.501462113597,-7250.501462113597
t106,-12634.966486344549,-12634.966486344549
t107,-13095.362581356696,-13095.362581356696
t108,-14029.461865888752,-14029.461865888752
t109,-13051.512304680378,-13051.512304680378
t110,-13376.641807026685,-13376.641807026685
t111,-13586.021490927558,-13586.021490927558
t112,-12966.539706023796,-12966.539706023796
t113,-13940.724989877095,-13940.724989877095
t114,-10067.26982051673,-10067.26982051673
t115,-6265.462594225708,-6265.462594225708
t116,-11931.349021557488,-11931.349021557488
t117,-5051.888135104102,-5051.888135104102
t118,-13565.546839888058,-13565.546839888058
t119,-14755.77336630251,-14755.77336630251
t120,-16139.547183364202,-16139.547183364202
t121,-15422.377191352249,-15422.377191352249
t122,-15274.098528993627,-15274.098528993627
t123,-14665.03765044424,-14665.03765044424
t124,-11012.468374680795,-11012.468374680795
t125,-9509.487566227,-9509.487566227
t126,-11796.415168987663,-11796.415168987663
t127,-13386.86992260379,-13386.86992260379
t128,-12920.613028046302,-12920.613028046302
t129,-14119.493139269745,-14119.493139269745
t130,-6936.693525789875,-6936.693525789875
t131,-5843.534059786025,-5843.534059786025
t132,-3582.6168058764306,-3582.6168058764306
t133,-2556.426309565967,-2556.426309565967
t134,-2644.2092859256427,-2644.2092859256427
t135,-2671.7011993752967,-2671.7011993752967
t136,-2240.166515157016,-2240.166515157016
t137,-3117.791288561446,-3117.791288561446
t138,-6233.025218933727,-6233.025218933727
t139,-10098.664479991276,-10098.664479991276
t140,-6398.193428189199,-6398.193428189199
t141,-5077.746081596271,-5077.746081596271
t142,-5164.679245780322,-5164.679245780322
t143,-7530.693505449468,-7530.693505449468
t144,-5427.557483489305,-5427.557483489305
t145,-2798.5112431914913,-2798.5112431914913
t146,-1341.3419411869882,-1341.3419411869882
t147,-1774.5258285477803,-1774.5258285477803
t148,-4975.627703100354,-4975.627703100354
t149,-6713.667745152973,-6713.667745152973
t150,-7008.7962929552605,-7008.7962929552605
t151,-6625.008145584914,-6625.008145584914
t152,-6991.580180171615,-6991.580180171615
t153,-5756.603405864894,-5756.603405864894
t154,-8229.117688245286,-8229.117688245286
t155,-10126.275062925724,-10126.275062925724
t156,-12217.828469894974,-12217.828469894974
