BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
AnnualSum,4.4098870543800384e8,1.2499359872853407e6,-1.4767674708000873e6,3.792544549504156e7,-3.792544549504151e7,6478.960077249051,0.00016823166168536952,8.115313700826374e7,-1.3444259059442885e6,-5.17571527e8,1.0880020241773364e8,1.1167762190057926e6,-1.3194426027949392e6,2.018237007738923e6,-2.0182370077388342e6,118.78580876643551,0.00039950239441744785,-8.115313700826374e7,-1.3444259059442885e6,-2.4755666e7
t1,37658.667964688495,0.0010684311365580968,-542.0809625944579,2128.7214778797907,-9041.908734860102,3.9192707716029445e-7,1.9132198985393025e-8,14898.570467917503,-222.74331017647592,-44460.0,17924.385368632553,0.0010500295540864244,-234.66314280734227,111.44907304106997,-337.1152609904384,3.157866818933535e-7,4.92856701008823e-8,-14898.570467917503,-222.74331017647592,-2120.0
t2,41591.982230289505,0.0010417902957243986,-458.73084762272845,1661.8487806970786,-8853.990033838356,3.911515116249671e-7,1.914246694974028e-8,10056.258053215546,-192.4422817123657,-43416.0,12889.460282972663,0.0009851739149688253,-198.28200941054604,90.74080067285928,-268.77744313292715,3.1493022874664065e-7,4.940386069605135e-8,-10056.258053215546,-192.4422817123657,-2072.0
t3,44073.966273033104,0.000996335736723757,-350.85579025375955,1708.176090298557,-6717.956103640066,3.9069807932397416e-7,1.9147422063686304e-8,4772.114515486515,-167.98066007807378,-42953.0,7472.3271331780825,0.000939815803741983,-177.53867045307544,93.10468867521514,-221.81825593733703,3.145632438081737e-7,4.9429775626763886e-8,-4772.114515486515,-167.98066007807378,-2058.0
t4,42360.637965195405,0.0009762819550038947,-287.53410790687633,1809.1141272275645,-4382.30447734304,3.904176730449866e-7,1.9150519467210138e-8,3755.264080969946,-164.84695166190798,-42729.0,6393.1018065986955,0.0009173352334957399,-161.99762225492955,98.03278802022048,-187.17990576923728,3.1437323704757484e-7,4.942489749886314e-8,-3755.264080969946,-164.84695166190798,-2057.0
t5,39059.876645808254,0.00095350054230872,-244.40631656550292,1818.789566174617,-3015.1425015926225,3.9044302848276105e-7,1.9150457118515036e-8,5766.937364986108,-170.28552560633264,-42849.0,8385.874101704265,0.0009043302900461346,-148.8835263464752,97.51632938700457,-157.9993932400597,3.1437477060450176e-7,4.938996261066664e-8,-5766.937364986108,-170.28552560633264,-2069.0
t6,38587.76557128178,0.0009632717332052913,-222.52939581038277,2036.9095961507728,-2487.3382226394106,3.920641147807747e-7,1.914114646448514e-8,6389.190209325664,-172.25703024275168,-43763.0,9015.882449075789,0.0009105750768563678,-140.0580995258539,108.84122427336142,-132.96221495237887,3.1589204583067516e-7,4.929788606102455e-8,-6389.190209325664,-172.25703024275168,-2118.0
t7,39658.708125361045,0.0008917860014971432,-205.43879232788444,2543.184532760185,-2098.5830891929245,3.9301333100551065e-7,1.9128019291999025e-8,6279.340895363335,-169.86395132770286,-45641.0,8981.75539629571,0.0008515973133828373,-131.47813824541004,133.10588381983376,-139.31519581489218,3.1726728706832913e-7,4.893384454650349e-8,-6279.340895363335,-169.86395132770286,-2225.0
t8,42915.73450619462,0.0009156421747593996,-213.25063775707298,2356.0134276945064,-2818.3352766663784,3.930224146480645e-7,1.912644765026528e-8,4269.775754192705,-163.72701411165826,-45986.0,7016.450032221343,0.0008695262145416384,-130.64587659619087,121.91788071476135,-179.49312381643315,3.1742833043473615e-7,4.891693170463188e-8,-4269.775754192705,-163.72701411165826,-2231.0
t9,37046.96914267125,2267.8008331285428,-2.4980180233966692e-6,3339.2424874436683,-9.764644298151415e-6,4.193231903417005e-7,1.9418559973898675e-8,4651.924756262604,-65.82473581124883,-47156.0,4953.832250383193,1937.5006016269665,-2.44636314430507e-6,181.2413866311518,-8.697344084231287e-6,3.3784473863233746e-7,4.967247839697027e-8,-4651.924756262604,-65.82473581124883,-2289.0
t10,43341.10744995165,0.0008885081314424783,-59.80330791412272,3781.954088578366,-1413.0881434630146,3.942059449581638e-7,1.9111518712941912e-8,3589.280084778132,-165.48319967223472,-48712.0,6326.043037885548,0.0008344776260920171,-58.73010856485728,173.97666754443122,-161.04394758729336,3.187527161943333e-7,4.841952505236828e-8,-3589.280084778132,-165.48319967223472,-2360.0
t11,55502.167574514344,0.0011067901749517378,-1691.489395809467,3440.1384822927857,-6516.75447110791,3.954759306413415e-7,1.9104321490852046e-8,-315.6133307728933,-225.4826524047321,-49771.0,4124.5123050184,0.0010577790475623117,-1564.1418581028586,195.43615555437918,-208.45568658089394,3.202896951677295e-7,4.823315042267339e-8,315.6133307728933,-225.4826524047321,-2412.0
