region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
TRE,TRE_natural_gas_steam_turbine_1,1,1,11,0.0,0.0,15.128164553789247,0.0,0.6606475336256333,29.382610684195114,0.0,2.5727935842528464,0.0,26.225327501593743,0.0,0.0,0.0,0.0,0.0,26.225327501593743,47.74421635586285,-21.518888854269104
TRE,TRE_nuclear_1,1,1,12,0.0,0.0,9.89568e8,0.0,1.0635129125859143e8,2.778427484130705e8,0.0,4.772223650603359e6,0.0,1.1191011862434745e9,2.5943289507209525e8,0.0,0.0,0.0,0.0,1.3785340813155696e9,1.3785342633222651e9,-182.0066955089569
TRE,TRE_onshore_wind_turbine_1,1,1,13,0.0,0.0,4.1297654652695293e6,0.0,0.0,0.0,0.0,0.0,0.0,4.1296852356906338e6,0.0,0.0,0.0,0.0,0.0,4.1296852356906338e6,4.1297654652695293e6,-80.22957889549434
TRE,TRE_petroleum_liquids_1,1,1,14,0.0,0.0,44.949270251748885,0.0,0.4868086286982141,16.876681539709626,0.0,2.4233374031042025,0.0,40.24105779839039,0.0,0.0,0.0,0.0,0.0,40.24105779839039,64.73609782326092,-24.495040024870526
TRE,TRE_small_hydroelectric_1,1,1,15,0.0,0.0,526937.6,0.0,0.0,0.0,0.0,0.0,0.0,199531.70559869352,0.0,0.0,0.0,0.0,0.0,199531.70559869352,526937.6,-327405.89440130646
TRE,TRE_solar_photovoltaic_1,1,1,16,0.0,0.0,2.5237313873239008e8,0.0,0.0,0.0,0.0,0.0,0.0,4.2211110001531094e8,0.0,0.0,0.0,0.0,0.0,4.2211110001531094e8,2.5237313873239008e8,1.6973796128292087e8
TRE_WEST,TRE_WEST_batteries_1,2,1,17,0.0,0.0,1.20803125e7,0.0,167516.2883466968,0.0,197916.21969124797,0.0,6.75771384301495e6,6.41172531713689e7,0.0,0.0,0.0,0.0,0.0,6.41172531713689e7,1.9203458851052895e7,4.4913794320316e7
TRE_WEST,TRE_WEST_natural_gas_fired_combined_cycle_1,2,1,18,0.0,0.0,3.4350716741089724e7,0.0,5.533634205700309e7,3.813968745647505e8,0.0,1.6855842297515e7,0.0,5.411960894923334e8,0.0,0.0,0.0,0.0,0.0,5.411960894923334e8,4.8793977566035825e8,5.325631383197516e7
TRE_WEST,TRE_WEST_natural_gas_fired_combined_cycle_2,2,2,19,0.0,0.0,906648.718234923,0.0,32031.19604621897,264658.63730979746,0.0,60694.27704437558,0.0,1.2685726222648763e6,0.0,0.0,0.0,0.0,0.0,1.2685726222648763e6,1.2640328286353152e6,4539.793629561085
TRE_WEST,TRE_WEST_natural_gas_fired_combustion_turbine_1,2,1,20,0.0,0.0,8.459271473403508e6,0.0,58186.97910307222,582525.4965717508,0.0,207538.85216724026,0.0,1.4804846368831767e7,0.0,0.0,0.0,0.0,0.0,1.4804846368831767e7,9.30752280124557e6,5.497323567586197e6
