Costs,Total
cTotal,9.341408053918978e8
cFix,8.421052631578912e8
cFix_Energy,5.203554223400012e7
cVar,4.0000000000006594e7
cCO2_seq,0.0
cCO2_tax,0.0
cElectricity_z1,3.540134418663921e7
cElectricity_z2,0.0
