BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
AnnualSum,4.413704688707213e8,1.2514005439867184e6,-1.478497807167663e6,4.246296063318217e7,-4.2462960633181974e7,6478.100505894955,0.0,8.047322951968202e7,-1.1952205583077895e6,-5.17571527e8,1.0782168295239791e8,1.115667084055027e6,-1.3181321881557498e6,2.320598659729698e6,-2.320598659729693e6,118.78800000000001,0.0,-8.047322951968202e7,-1.1952205583077895e6,-2.4755666e7
t1,37675.959143584536,0.0,-2267.8,2580.0491,-6736.3178951257705,0.0,0.0,13794.495734285449,-195.1921146401391,-44460.0,16355.929863565725,0.0,-0.0,136.5053,-187.5552,0.0,0.0,-13794.495734285449,-195.1921146401391,-2120.0
t2,41615.18400769666,0.0,-0.0,793.5661999999999,-14857.977654232727,0.0,0.0,16529.0,-233.88535,-43416.0,19171.656600000002,0.0,-0.0,43.0663,-145.9522,0.0,0.0,-16529.0,-233.88535,-2072.0
t3,44093.90354221278,0.0,-0.0,2112.0872000000004,-8116.205545767272,0.0,0.0,5206.562372150258,-73.67285756592615,-42953.0,7322.14868728211,0.0,-0.0,118.755,-28.9956,0.0,0.0,-5206.562372150258,-73.67285756592615,-2058.0
t4,42385.52162760253,0.0,-0.0,2310.2578000000003,-2190.4806000000003,0.0,0.0,431.9265471456028,-6.111760642110279,-42729.0,2397.663168429823,0.0,-0.0,125.4078,-21.920900000000003,0.0,0.0,-431.9265471456028,-6.111760642110279,-2057.0
t5,39084.818836086415,0.0,-0.0,2320.1961,-575.9258,0.0,0.0,2280.449436428422,-32.26835952546217,-42849.0,4519.288155479346,0.0,-0.0,125.9466,-231.24859999999998,0.0,0.0,-2280.449436428422,-32.26835952546217,-2069.0
t6,38610.71872016018,0.0,-0.0,2521.1292999999996,-684.1924,0.0,0.0,3613.6114369699894,-51.13260183312535,-43763.0,5849.11444063624,0.0,-0.0,20.6926,-35.93039999999999,0.0,0.0,-3613.6114369699894,-51.13260183312535,-2118.0
t7,39684.392207031735,0.0,-411.54782608695626,3071.1857,-2557.2738999999997,0.0,0.0,6226.454330059815,-88.10432877034638,-45641.0,8476.161387600509,0.0,-0.0,166.7092,-15.207600000000001,0.0,0.0,-6226.454330059815,-88.10432877034638,-2225.0
t8,42938.45633351896,0.0,-0.0,2925.5182000000004,-4593.5757,0.0,0.0,5054.649603730525,-71.52329189278693,-45986.0,7553.6447875161,0.0,-0.0,158.79020000000003,-283.7388,0.0,0.0,-5054.649603730525,-71.52329189278693,-2231.0
t9,37046.52278775376,2267.8,-0.0,3339.2425000000003,-0.0,0.0,0.0,4652.283679938586,-65.82981407113098,-47156.0,4954.201908080848,1937.5,-0.0,181.2414,-0.0,0.0,0.0,-4652.283679938586,-65.82981407113098,-2289.0
