Resource,RE_DAC_1,RE_DAC_2,RE_DAC_1,RE_DAC_2
Zone,1,2,1,2
CO2,CO2 gross,CO2 gross,CO2 net,CO2 net
x1,-117.99442683446738,-0.0,-117.99442683446738,0.0
x2,-117.99442683446738,-0.0,-117.99442683446738,0.0
x3,-117.99442683446738,-0.0,-117.99442683446738,0.0
x4,-117.99442683446738,-0.0,-117.99442683446738,0.0
x5,-117.99442683446738,-0.0,-117.99442683446738,0.0
x6,-117.99442683446738,-0.0,-117.99442683446738,0.0
x7,-117.99442683446738,-0.0,-117.99442683446738,0.0
x8,-117.99442683446738,-0.0,-117.99442683446738,0.0
x9,-10.950104076970815,-0.0,-10.950104076970815,0.0
x10,-117.99442683446738,-0.0,-117.99442683446738,0.0
x11,-117.99442683446738,-0.0,-117.99442683446738,0.0
x12,-117.99442683446738,-0.0,-117.99442683446738,0.0
x13,-117.99442683446738,-0.0,-117.99442683446738,0.0
x14,-117.99442683446738,-0.0,-117.99442683446738,0.0
x15,-117.99442683446738,-0.0,-117.99442683446738,0.0
x16,-117.99442683446738,-0.0,-117.99442683446738,0.0
x17,-117.99442683446738,-0.0,-117.99442683446738,0.0
x18,-117.99442683446738,-0.0,-117.99442683446738,0.0
x19,-117.99442683446738,-0.0,-117.99442683446738,0.0
x20,-117.99442683446738,-0.0,-117.99442683446738,0.0
x21,-117.99442683446738,-0.0,-117.99442683446738,0.0
x22,-117.99442683446738,-0.0,-117.99442683446738,0.0
x23,-117.99442683446738,-0.0,-117.99442683446738,0.0
x24,-117.99442683446738,-0.0,-117.99442683446738,0.0
x25,-117.99442683446738,-0.0,-117.99442683446738,0.0
x26,-117.99442683446738,-0.0,-117.99442683446738,0.0
x27,-117.99442683446738,-0.0,-117.99442683446738,0.0
x28,-117.99442683446738,-0.0,-117.99442683446738,0.0
x29,-117.99442683446738,-0.0,-117.99442683446738,0.0
x30,-117.99442683446738,-0.0,-117.99442683446738,0.0
x31,-117.99442683446738,-0.0,-117.99442683446738,0.0
x32,-117.99442683446738,-0.0,-117.99442683446738,0.0
x33,-117.99442683446738,-0.0,-117.99442683446738,0.0
x34,-117.99442683446738,-0.0,-117.99442683446738,0.0
x35,-117.99442683446738,-0.0,-117.99442683446738,0.0
x36,-117.99442683446738,-0.0,-117.99442683446738,0.0
x37,-117.99442683446738,-0.0,-117.99442683446738,0.0
x38,-117.99442683446738,-0.0,-117.99442683446738,0.0
x39,-117.99442683446738,-0.0,-117.99442683446738,0.0
x40,-117.99442683446738,-0.0,-117.99442683446738,0.0
x41,-117.99442683446738,-0.0,-117.99442683446738,0.0
x42,-117.99442683446738,-0.0,-117.99442683446738,0.0
x43,-117.99442683446738,-0.0,-117.99442683446738,0.0
x44,-117.99442683446738,-0.0,-117.99442683446738,0.0
x45,-117.99442683446738,-0.0,-117.99442683446738,0.0
x46,-117.99442683446738,-0.0,-117.99442683446738,0.0
x47,-117.99442683446738,-0.0,-117.99442683446738,0.0
x48,-117.99442683446738,-0.0,-117.99442683446738,0.0
x49,-117.99442683446738,-0.0,-117.99442683446738,0.0
x50,-117.99442683446738,-0.0,-117.99442683446738,0.0
x51,-117.99442683446738,-0.0,-117.99442683446738,0.0
x52,-117.99442683446738,-0.0,-117.99442683446738,0.0
x53,-117.99442683446738,-0.0,-117.99442683446738,0.0
x54,-117.99442683446738,-0.0,-117.99442683446738,0.0
x55,-117.99442683446738,-0.0,-117.99442683446738,0.0
x56,-117.99442683446738,-0.0,-117.99442683446738,0.0
x57,-117.99442683446738,-0.0,-117.99442683446738,0.0
x58,-117.99442683446738,-0.0,-117.99442683446738,0.0
x59,-117.99442683446738,-0.0,-117.99442683446738,0.0
x60,-117.99442683446738,-0.0,-117.99442683446738,0.0
x61,-117.99442683446738,-0.0,-117.99442683446738,0.0
x62,-117.99442683446738,-0.0,-117.99442683446738,0.0
x63,-117.99442683446738,-0.0,-117.99442683446738,0.0
x64,-117.99442683446738,-0.0,-117.99442683446738,0.0
x65,-117.99442683446738,-0.0,-117.99442683446738,0.0
x66,-117.99442683446738,-0.0,-117.99442683446738,0.0
x67,-117.99442683446738,-0.0,-117.99442683446738,0.0
x68,-117.99442683446738,-0.0,-117.99442683446738,0.0
x69,-117.99442683446738,-0.0,-117.99442683446738,0.0
x70,-117.99442683446738,-0.0,-117.99442683446738,0.0
x71,-117.99442683446738,-0.0,-117.99442683446738,0.0
x72,-117.99442683446738,-0.0,-117.99442683446738,0.0
x73,-117.99442683446738,-0.0,-117.99442683446738,0.0
x74,-117.99442683446738,-0.0,-117.99442683446738,0.0
x75,-117.99442683446738,-0.0,-117.99442683446738,0.0
x76,-117.99442683446738,-0.0,-117.99442683446738,0.0
x77,-117.99442683446738,-0.0,-117.99442683446738,0.0
x78,-117.99442683446738,-0.0,-117.99442683446738,0.0
x79,-117.99442683446738,-0.0,-117.99442683446738,0.0
x80,-10.950104076970815,-0.0,-10.950104076970815,0.0
x81,-117.99442683446738,-0.0,-117.99442683446738,0.0
x82,-117.99442683446738,-0.0,-117.99442683446738,0.0
x83,-117.99442683446738,-0.0,-117.99442683446738,0.0
x84,-117.99442683446738,-0.0,-117.99442683446738,0.0
x85,-117.99442683446738,-0.0,-117.99442683446738,0.0
x86,-117.99442683446738,-0.0,-117.99442683446738,0.0
x87,-117.99442683446738,-0.0,-117.99442683446738,0.0
x88,-117.99442683446738,-0.0,-117.99442683446738,0.0
x89,-117.99442683446738,-0.0,-117.99442683446738,0.0
x90,-117.99442683446738,-0.0,-117.99442683446738,0.0
x91,-117.99442683446738,-0.0,-117.99442683446738,0.0
x92,-117.99442683446738,-0.0,-117.99442683446738,0.0
x93,-117.99442683446738,-0.0,-117.99442683446738,0.0
x94,-117.99442683446738,-0.0,-117.99442683446738,0.0
x95,-117.99442683446738,-0.0,-117.99442683446738,0.0
x96,-117.99442683446738,-0.0,-117.99442683446738,0.0
x97,-117.99442683446738,-0.0,-117.99442683446738,0.0
x98,-117.99442683446738,-0.0,-117.99442683446738,0.0
x99,-117.99442683446738,-0.0,-117.99442683446738,0.0
x100,-117.99442683446738,-0.0,-117.99442683446738,0.0
x101,-117.99442683446738,-0.0,-117.99442683446738,0.0
x102,-117.99442683446738,-0.0,-117.99442683446738,0.0
x103,-10.950104076970813,-0.0,-10.950104076970813,0.0
x104,-10.950104076970813,-0.0,-10.950104076970813,0.0
x105,-117.99442683446738,-0.0,-117.99442683446738,0.0
x106,-117.99442683446738,-0.0,-117.99442683446738,0.0
x107,-117.99442683446738,-0.0,-117.99442683446738,0.0
x108,-117.99442683446738,-0.0,-117.99442683446738,0.0
x109,-117.99442683446738,-0.0,-117.99442683446738,0.0
x110,-117.99442683446738,-0.0,-117.99442683446738,0.0
x111,-117.99442683446738,-0.0,-117.99442683446738,0.0
x112,-117.99442683446738,-0.0,-117.99442683446738,0.0
x113,-117.99442683446738,-0.0,-117.99442683446738,0.0
x114,-117.99442683446738,-0.0,-117.99442683446738,0.0
x115,-117.99442683446738,-0.0,-117.99442683446738,0.0
x116,-117.99442683446738,-0.0,-117.99442683446738,0.0
x117,-117.99442683446738,-0.0,-117.99442683446738,0.0
x118,-117.99442683446738,-0.0,-117.99442683446738,0.0
x119,-117.99442683446738,-0.0,-117.99442683446738,0.0
x120,-117.99442683446738,-0.0,-117.99442683446738,0.0
x121,-117.99442683446738,-0.0,-117.99442683446738,0.0
x122,-117.99442683446738,-0.0,-117.99442683446738,0.0
x123,-117.99442683446738,-0.0,-117.99442683446738,0.0
x124,-117.99442683446738,-0.0,-117.99442683446738,0.0
x125,-117.99442683446738,-0.0,-117.99442683446738,0.0
x126,-117.99442683446738,-0.0,-117.99442683446738,0.0
x127,-117.99442683446738,-0.0,-117.99442683446738,0.0
x128,-117.99442683446738,-0.0,-117.99442683446738,0.0
x129,-117.99442683446738,-0.0,-117.99442683446738,0.0
x130,-117.99442683446738,-0.0,-117.99442683446738,0.0
