region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
TRE,TRE_batteries_1,1,1,1,0.0,0.0,1.4139733000000002e7,0.0,187710.08159800776,0.0,221774.67107514944,0.0,1.0279809303805018e7,7.465715067889898e7,0.0,0.0,0.0,0.0,0.0,7.465715067889898e7,2.482902705647818e7,4.9828123622420795e7
TRE,TRE_biomass_1,1,1,2,0.0,0.0,5.113815e6,0.0,1.9243267199999492e6,2.2405933800000075e7,0.0,0.0,0.0,7.446717799002581e6,0.0,0.0,0.0,0.0,0.0,7.446717799002581e6,2.9444075520000026e7,-2.1997357720997445e7
TRE,TRE_conventional_hydroelectric_1,1,1,3,0.0,0.0,2.2724184e7,0.0,0.0,0.0,0.0,0.0,0.0,1.6106858272648752e7,0.0,0.0,0.0,0.0,0.0,1.6106858272648752e7,2.2724184e7,-6.617325727351248e6
TRE,TRE_conventional_steam_coal_1,1,1,4,0.0,0.0,3.63391548e8,0.0,7.011157857128657e7,6.775650081235995e8,0.0,2.4107327807678502e7,0.0,1.2516946242082849e9,0.0,0.0,0.0,0.0,0.0,1.2516946242082849e9,1.1351754625025647e9,1.1651916170572019e8
TRE,TRE_conventional_steam_coal_2,1,2,5,0.0,0.0,0.0,0.0,-7.741753478285317e-11,-8.823251731477909e-10,0.0,0.0,0.0,-8.449132180965429e-10,0.0,0.0,0.0,0.0,0.0,-8.449132180965429e-10,-9.59742707930644e-10,1.1482948983410118e-10
TRE,TRE_natural_gas_fired_combined_cycle_1,1,1,6,0.0,0.0,1.040929972e8,0.0,1.141390580453271e7,8.71583608002879e7,0.0,1.1899199119951207e7,0.0,2.3387337912741664e8,0.0,0.0,0.0,0.0,0.0,2.3387337912741664e8,2.1456446292477182e8,1.9308916202644825e7
TRE,TRE_natural_gas_fired_combined_cycle_2,1,2,7,0.0,0.0,3.333568005e8,0.0,3.500869275646574e8,2.6621721668666472e9,0.0,1.5033736683581293e8,0.0,3.949076959202785e9,0.0,0.0,0.0,0.0,0.0,3.949076959202785e9,3.495953261767118e9,4.5312369743566704e8
TRE,TRE_natural_gas_fired_combustion_turbine_1,1,1,8,0.0,0.0,7.00298958e7,0.0,2.027181807932123e6,1.5496998656149313e7,0.0,6.91008983724231e6,0.0,1.392885328415337e8,0.0,0.0,0.0,0.0,0.0,1.392885328415337e8,9.446416610132374e7,4.482436674020995e7
TRE,TRE_natural_gas_fired_combustion_turbine_2,1,2,9,0.0,0.0,2.29855435e7,0.0,136723.4305208601,1.0589851163979347e6,0.0,923831.404542113,0.0,3.04570192509093e7,0.0,0.0,0.0,0.0,0.0,3.04570192509093e7,2.510508345146091e7,5.35193579944839e6
TRE,TRE_natural_gas_internal_combustion_engine_1,1,1,10,0.0,0.0,1.77513e7,0.0,4.42817343935924e6,3.05337777421717e7,0.0,5.159124637002034e6,0.0,6.378666951884253e7,0.0,0.0,0.0,0.0,0.0,6.378666951884253e7,5.787237581853297e7,5.91429370030956e6
